suite_case_id,record_type,branch_order,mask_index,outage_mask,controls_path,controls_sha256,recorded_terminal_error,replay_terminal_error,terminal_error_delta,tolerance,passes_tolerance,recovery_start,recovery_segments,optimizer_ran,optimizer_success,accepted_candidate,accepted_weight_variant,accepted_initialization,replay_semantics
tail_coast_all_one_two_segment_t5_portfolio,nominal,,,,data/results/hard_catalog_tail_coast_branch_control_replay/controls/tail_coast_all_one_two_segment_t5_portfolio_nominal_controls.json,a837354a64fef991cbe32cc2ed8311f0e72f59d73250655e2bf89144da0d5ca4,0.02299233817855882,0.02299233817855882,0.0,1e-10,True,,,,,optimizer,,,normalized CR3BP accepted-control replay only; no optimization rerun; no high-fidelity validation
tail_coast_all_one_two_segment_t5_portfolio,branch,0,0,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",data/results/hard_catalog_tail_coast_branch_control_replay/controls/tail_coast_all_one_two_segment_t5_portfolio_branch_000_mask_000_controls.json,29ee001998ed326eda124d1a7cc3c36015bc7be21604e2daad3cd91e757d01d3,0.00034866376885863743,0.00034866376885863743,0.0,1e-10,True,1,13,True,True,optimizer,terminal_only,nominal_post_outage,normalized CR3BP accepted-control replay only; no optimization rerun; no high-fidelity validation
tail_coast_all_one_two_segment_t5_portfolio,branch,1,1,"[1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",data/results/hard_catalog_tail_coast_branch_control_replay/controls/tail_coast_all_one_two_segment_t5_portfolio_branch_001_mask_001_controls.json,2ac3ea5cf5870454b3cced8a57a48fb0bff50f845ef2887ad3d356d74ff138c2,0.0021092769780679923,0.0021092769780679923,0.0,1e-10,True,2,12,True,True,optimizer,terminal_only,nominal_post_outage,normalized CR3BP accepted-control replay only; no optimization rerun; no high-fidelity validation
tail_coast_all_one_two_segment_t5_portfolio,branch,2,2,"[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",data/results/hard_catalog_tail_coast_branch_control_replay/controls/tail_coast_all_one_two_segment_t5_portfolio_branch_002_mask_002_controls.json,af4c45bf516a4979040b09e98c25f4c5f5f400e3ff1de4e2d47c1b457521577e,2.397367590679686e-07,2.397367590679686e-07,0.0,1e-10,True,3,11,True,True,optimizer,terminal_only,nominal_post_outage,normalized CR3BP accepted-control replay only; no optimization rerun; no high-fidelity validation
tail_coast_all_one_two_segment_t5_portfolio,branch,3,3,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",data/results/hard_catalog_tail_coast_branch_control_replay/controls/tail_coast_all_one_two_segment_t5_portfolio_branch_003_mask_003_controls.json,3edba56d8ede21d879506f25e33b9a6f9e7d0217069e63895c0e3dc475e654e0,0.00180623593433249,0.00180623593433249,0.0,1e-10,True,4,10,True,True,optimizer,terminal_only,nominal_post_outage,normalized CR3BP accepted-control replay only; no optimization rerun; no high-fidelity validation
tail_coast_all_one_two_segment_t5_portfolio,branch,4,4,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",data/results/hard_catalog_tail_coast_branch_control_replay/controls/tail_coast_all_one_two_segment_t5_portfolio_branch_004_mask_004_controls.json,9ebebca724e9d21f0fe3b1556fa59ebf191a0ea0cd129023fca9d9ae5e2c2c5d,8.51366580700096e-06,8.51366580700096e-06,0.0,1e-10,True,5,9,True,True,optimizer,terminal_only,nominal_post_outage,normalized CR3BP accepted-control replay only; no optimization rerun; no high-fidelity validation
tail_coast_all_one_two_segment_t5_portfolio,branch,5,5,"[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]",data/results/hard_catalog_tail_coast_branch_control_replay/controls/tail_coast_all_one_two_segment_t5_portfolio_branch_005_mask_005_controls.json,d8174ef523a3e0ad649e16446092fe1af22a1d948f1906a7226fa310005b43ff,1.4634779182819704e-05,1.4634779182819704e-05,0.0,1e-10,True,6,8,True,True,optimizer,regularized_001,nominal_post_outage,normalized CR3BP accepted-control replay only; no optimization rerun; no high-fidelity validation
tail_coast_all_one_two_segment_t5_portfolio,branch,6,6,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]",data/results/hard_catalog_tail_coast_branch_control_replay/controls/tail_coast_all_one_two_segment_t5_portfolio_branch_006_mask_006_controls.json,9a872cbc22dcc277fc2a22486591ca7a3588cbf75f0ee3f39f349c9216eb5f1d,8.037431915437312e-07,8.037431915437312e-07,0.0,1e-10,True,7,7,True,True,optimizer,terminal_only,nominal_post_outage,normalized CR3BP accepted-control replay only; no optimization rerun; no high-fidelity validation
tail_coast_all_one_two_segment_t5_portfolio,branch,7,7,"[1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1]",data/results/hard_catalog_tail_coast_branch_control_replay/controls/tail_coast_all_one_two_segment_t5_portfolio_branch_007_mask_007_controls.json,99a20f46082f43e92111505de31e75c38792cf5e33403923ba4fb237a4981512,1.5539483518746534e-06,1.5539483518746534e-06,0.0,1e-10,True,8,6,True,True,optimizer,terminal_only,constant_y_minus_0p5,normalized CR3BP accepted-control replay only; no optimization rerun; no high-fidelity validation
tail_coast_all_one_two_segment_t5_portfolio,branch,8,8,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]",data/results/hard_catalog_tail_coast_branch_control_replay/controls/tail_coast_all_one_two_segment_t5_portfolio_branch_008_mask_008_controls.json,e748073e4e8afe834191bbec8946c37db11d5eda92ca7f8858a4ae651ee6783c,3.7090883617962675e-06,3.7090883617962675e-06,0.0,1e-10,True,9,5,True,True,optimizer,terminal_only,nominal_post_outage,normalized CR3BP accepted-control replay only; no optimization rerun; no high-fidelity validation
