node_index,canonical_time,jd_tdb,calendar_tdb,em_distance_km,em_distance_ratio_to_mean,em_distance_delta_percent_vs_mean,em_angular_rate_ratio_to_mean,em_angular_rate_delta_percent_vs_mean,sun_distance_lu,sun_distance_delta_percent_vs_bicircular,sun_phase_rotating_rad,bicircular_aligned_phase_rad,sun_phase_delta_degrees_wrapped,nominal_horizons_tidal_accel_norm,nominal_bicircular_tidal_accel_norm,nominal_tidal_accel_delta_norm,nominal_tidal_accel_delta_fraction,representative_branch_mask_index,representative_branch_horizons_tidal_accel_norm,representative_branch_bicircular_tidal_accel_norm,representative_branch_tidal_accel_delta_norm,representative_branch_tidal_accel_delta_fraction,contrast_semantics
0,0,2461041.5,A.D. 2026-Jan-01 00:00:00.0000,361026.01088306925,0.93314440662480813,-6.6855593375191873,1.1426837198146729,14.268371981467286,382.69304417895199,-1.6642998743603088,-2.5490789296165768,-2.5490789296165768,0,0.010730590000558303,0.010110780376186736,0.001303350141227573,0.1214611816460941,22,0.010730590000558303,0.010110780376186736,0.001303350141227573,0.1214611816460941,"cached Horizons-derived Earth/Moon/Sun geometry force-model contrast only; no high-fidelity replay, no SPICE validation, no retuning"
1,0.2857142857142857,2461042.740708529,A.D. 2026-Jan-02 05:46:37.2169,360443.11922116857,0.9316378057772946,-6.8362194222705401,1.1482972378676624,14.829723786766236,382.68775307797051,-1.6656594603976393,-2.8514387603161895,-2.813421786759434,-2.1782121346625432,0.011512469496170959,0.010752489588415303,0.0016162714823797241,0.14039311747295358,22,0.011512469496170959,0.010752489588415303,0.0016162714823797241,0.14039311747295358,"cached Horizons-derived Earth/Moon/Sun geometry force-model contrast only; no high-fidelity replay, no SPICE validation, no retuning"
2,0.5714285714285714,2461043.9814170571,A.D. 2026-Jan-03 11:33:14.4337,362475.30399172095,0.93689039643476735,-6.3109603565232657,1.1361318846859416,13.613188468594162,382.68552082259191,-1.6662330542971171,-3.1528901134269391,-3.0777646439022912,-4.3043723377010137,0.011455139141230659,0.010728847986004224,0.0019128593727885141,0.16698700462777705,22,0.011455139141230659,0.010728847986004224,0.0019128593727885141,0.16698700462777705,"cached Horizons-derived Earth/Moon/Sun geometry force-model contrast only; no high-fidelity replay, no SPICE validation, no retuning"
3,0.8571428571428571,2461045.2221255852,A.D. 2026-Jan-04 17:19:51.6506,366975.00010542799,0.94852076691623677,-5.1479233083763232,1.1076701732625804,10.767017326258044,382.68634859266518,-1.6660203528881534,-3.4485118182084302,-3.342107501045148,-6.0965182954275008,0.010878761894889687,0.010357768189105408,0.0021180895883573308,0.19469950797914845,22,0.010878761894889687,0.010357768189105408,0.0021180895883573308,0.19469950797914845,"cached Horizons-derived Earth/Moon/Sun geometry force-model contrast only; no high-fidelity replay, no SPICE validation, no retuning"
4,1.1428571428571428,2461046.4628341142,A.D. 2026-Jan-05 23:06:28.8675,373361.39886085055,0.9650277002048423,-3.4972299795157702,1.0681858608819799,6.8185860881979865,382.6902360296491,-1.6650214483004633,-3.7343748531249479,-3.6064503581880052,-7.3295336562294846,0.0098542489137815482,0.0096660904583235931,0.0021980257494029695,0.22305360546849445,22,0.0098542489137815482,0.0096660904583235931,0.0021980257494029695,0.22305360546849445,"cached Horizons-derived Earth/Moon/Sun geometry force-model contrast only; no high-fidelity replay, no SPICE validation, no retuning"
5,1.4285714285714284,2461047.7035426418,A.D. 2026-Jan-07 04:53:06.0843,380767.99643326056,0.98417154272164586,-1.5828457278354136,1.0246087754798101,2.4608775479810108,382.697181235019,-1.66323682837346,-4.0083335900326169,-3.8707932153308624,-7.8804829830584522,0.0085555632863194651,0.0086940586476060271,0.0021834858781908284,0.25521240450436156,22,0.0085555632863194651,0.0086940586476060271,0.0021834858781908284,0.25521240450436156,"cached Horizons-derived Earth/Moon/Sun geometry force-model contrast only; no high-fidelity replay, no SPICE validation, no retuning"
6,1.7142857142857142,2461048.9442511708,A.D. 2026-Jan-08 10:39:43.3012,388246.55240566836,1.0035013762098572,0.35013762098572432,0.98328911513531436,-1.6710884864685638,382.7071807672869,-1.660667377421976,-4.2701625581400648,-4.1351360724737196,-7.7364477511652874,0.0071627106348472608,0.0075084746787758457,0.002110971864771498,0.29471689872566142,22,0.0071627106348472608,0.0075084746787758457,0.002110971864771498,0.29471689872566142,"cached Horizons-derived Earth/Moon/Sun geometry force-model contrast only; no high-fidelity replay, no SPICE validation, no retuning"
7,2,2461050.1849596989,A.D. 2026-Jan-09 16:26:20.5180,394947.09095496521,1.0208202670381288,2.0820267038128781,0.94875502035945058,-5.1244979640549415,382.72022963903964,-1.6573143769972987,-4.5211888351185543,-4.3994789296165768,-6.9734639101993858,0.0059573411429234141,0.0061975194600020749,0.0019506606282461826,0.3274381274208758,22,0.0059573411429234141,0.0061975194600020749,0.0019506606282461826,0.3274381274208758,"cached Horizons-derived Earth/Moon/Sun geometry force-model contrast only; no high-fidelity replay, no SPICE validation, no retuning"
8,2.2857142857142856,2461051.425668227,A.D. 2026-Jan-10 22:12:57.7348,400232.83947265038,1.0344823482051857,3.4482348205185698,0.92351548973399178,-7.6484510266008225,382.7363213157314,-1.6531795061974441,-4.7637296457251637,-4.663821786759434,-5.7242986589245692,0.0060661144107188618,0.0057155954432115139,0.0017554991345696623,0.28939433312825164,22,0.0060661144107188618,0.0057155954432115139,0.0017554991345696623,0.28939433312825164,"cached Horizons-derived Earth/Moon/Sun geometry force-model contrast only; no high-fidelity replay, no SPICE validation, no retuning"
9,2.5714285714285712,2461052.666376756,A.D. 2026-Jan-12 03:59:34.9517,403728.40681172948,1.0435173457181446,4.3517345718144584,0.90841772113048769,-9.1582278869512308,382.75544771708422,-1.6482648413073453,-5.0005655714925492,-4.9281646439022904,-4.1482675837541096,0.0077089599985044836,0.0069669788859780431,0.0015558831327966548,0.201827890285913,22,0.0079771944791791945,0.007193204395944057,0.0016165356804300163,0.20264463711512121,"cached Horizons-derived Earth/Moon/Sun geometry force-model contrast only; no high-fidelity replay, no SPICE validation, no retuning"
