evidence_tier,case_id,n_segments,active_windows,M,budget_label,budget,online_method,baseline_method,paired_seeds,online_successes,baseline_successes,paired_success_delta_mean,paired_success_delta_sum,best_cost_diff_mean_online_minus_baseline,best_cost_diff_mean_bootstrap95_lower,best_cost_diff_mean_bootstrap95_upper,best_cost_diff_median_online_minus_baseline,best_cost_diff_negative_favors_online,best_cost_online_wins,best_cost_online_losses,best_cost_ties,best_cost_sign_test_p_two_sided
recorded_branch_refined,one_coast_k11_full,12,11,12,sqrtM,4,online_threshold_amplitude_amplification,uniform_random_without_replacement,200,75,47,0.14,28,0.0006187279863773884,0.0002996560958544487,0.0009641021113296025,0.0,True,82,78,40,0.8126155651898856
recorded_branch_refined,one_coast_k11_full,12,11,12,sqrtM,4,online_threshold_amplitude_amplification,simulated_annealing_baseline,200,75,69,0.03,6,0.0007579400961166057,0.00045854100767639703,0.0010877576877265057,0.0,True,52,77,71,0.034186728347739094
recorded_branch_refined,one_coast_k11_full,12,11,12,sqrtM,4,online_threshold_amplitude_amplification,cross_entropy_baseline,200,75,55,0.1,20,0.00047362290411618387,0.0001415859326368303,0.0008214927417165955,0.0,True,81,87,32,0.6997974882614125
recorded_branch_refined,one_coast_k11_full,12,11,12,sqrtM,4,online_threshold_amplitude_amplification,genetic_baseline,200,75,55,0.1,20,0.00047362290411618387,0.0001415859326368303,0.0008214927417165955,0.0,True,81,87,32,0.6997974882614125
recorded_branch_refined,one_coast_k11_full,12,11,12,2sqrtM,8,online_threshold_amplitude_amplification,uniform_random_without_replacement,200,138,129,0.045,9,0.000452922685390278,0.00023874628004211221,0.0006987476560089827,0.0,True,47,55,98,0.48843446453263284
recorded_branch_refined,one_coast_k11_full,12,11,12,2sqrtM,8,online_threshold_amplitude_amplification,simulated_annealing_baseline,200,138,122,0.08,16,0.00037860627089474167,0.00016420168020624414,0.000624664169590707,0.0,True,53,45,102,0.479692499567487
recorded_branch_refined,one_coast_k11_full,12,11,12,2sqrtM,8,online_threshold_amplitude_amplification,cross_entropy_baseline,200,138,87,0.255,51,0.00017690807575200285,-4.835309083750344e-05,0.0004267361240338915,0.0,True,83,49,68,0.0039051217080269887
recorded_branch_refined,one_coast_k11_full,12,11,12,2sqrtM,8,online_threshold_amplitude_amplification,genetic_baseline,200,138,88,0.25,50,0.00017463034129625862,-5.843471668284166e-05,0.00043410704446670146,0.0,True,86,49,65,0.0018377911087715628
recorded_branch_refined,one_coast_k11_full,12,11,12,4sqrtM,12,online_threshold_amplitude_amplification,uniform_random_without_replacement,200,164,200,-0.18,-36,0.0003668200856027385,0.00019744349308590127,0.000571948481745593,0.0,True,0,36,164,2.9103830456733704e-11
recorded_branch_refined,one_coast_k11_full,12,11,12,4sqrtM,12,online_threshold_amplitude_amplification,simulated_annealing_baseline,200,164,149,0.075,15,0.00022145734653718997,5.220003192820208e-05,0.0004248055964638507,0.0,True,40,30,130,0.2819789217936561
recorded_branch_refined,one_coast_k11_full,12,11,12,4sqrtM,12,online_threshold_amplitude_amplification,cross_entropy_baseline,200,164,102,0.31,62,3.633198134459267e-05,-0.00014776101744437325,0.00025629979508435164,0.0,True,81,28,91,3.778053497089469e-07
recorded_branch_refined,one_coast_k11_full,12,11,12,4sqrtM,12,online_threshold_amplitude_amplification,genetic_baseline,200,164,102,0.31,62,1.9272219845394843e-05,-0.00015448739957743304,0.0002235379875457325,0.0,True,81,30,89,1.373867782378966e-06
recorded_branch_refined,one_coast_k11_full,12,11,12,M,12,online_threshold_amplitude_amplification,uniform_random_without_replacement,200,164,200,-0.18,-36,0.0003668200856027385,0.00019744349308590127,0.000571948481745593,0.0,True,0,36,164,2.9103830456733704e-11
recorded_branch_refined,one_coast_k11_full,12,11,12,M,12,online_threshold_amplitude_amplification,simulated_annealing_baseline,200,164,149,0.075,15,0.00022145734653718997,5.220003192820208e-05,0.0004248055964638507,0.0,True,40,30,130,0.2819789217936561
recorded_branch_refined,one_coast_k11_full,12,11,12,M,12,online_threshold_amplitude_amplification,cross_entropy_baseline,200,164,102,0.31,62,3.633198134459267e-05,-0.00014776101744437325,0.00025629979508435164,0.0,True,81,28,91,3.778053497089469e-07
recorded_branch_refined,one_coast_k11_full,12,11,12,M,12,online_threshold_amplitude_amplification,genetic_baseline,200,164,102,0.31,62,1.9272219845394843e-05,-0.00015448739957743304,0.0002235379875457325,0.0,True,81,30,89,1.373867782378966e-06
recorded_branch_refined,k10_full,12,10,66,sqrtM,9,online_threshold_amplitude_amplification,uniform_random_without_replacement,200,47,14,0.165,33,0.00045549387603649704,-4.221611197026012e-05,0.0009840666312149794,-0.0001220216017275011,True,113,73,14,0.004118244470934718
recorded_branch_refined,k10_full,12,10,66,sqrtM,9,online_threshold_amplitude_amplification,simulated_annealing_baseline,200,47,20,0.135,27,0.00014122458214640976,-0.00037026242219458203,0.0006844357642297164,-0.0001220216017275011,True,111,69,20,0.002155107552530423
recorded_branch_refined,k10_full,12,10,66,sqrtM,9,online_threshold_amplitude_amplification,cross_entropy_baseline,200,47,32,0.075,15,0.0005680930162367975,8.40563928777299e-05,0.0010851594821996316,0.0,True,90,90,20,1.0
recorded_branch_refined,k10_full,12,10,66,sqrtM,9,online_threshold_amplitude_amplification,genetic_baseline,200,47,32,0.075,15,0.0005680930162367975,8.40563928777299e-05,0.0010851594821996316,0.0,True,90,90,20,1.0
recorded_branch_refined,k10_full,12,10,66,2sqrtM,18,online_threshold_amplitude_amplification,uniform_random_without_replacement,200,124,40,0.42,84,-3.0114817499817606e-05,-0.00028658927209253304,0.0002701468031594295,-2.9740492414900843e-05,True,125,39,36,1.0535726728912257e-11
recorded_branch_refined,k10_full,12,10,66,2sqrtM,18,online_threshold_amplitude_amplification,simulated_annealing_baseline,200,124,44,0.4,80,-0.00014017854168613946,-0.0004137671184849394,0.0001725936341222433,-0.0001220216017275011,True,123,39,38,2.4605877080387962e-11
