baseline_method,method,seed,baseline_success,method_success,success_delta,baseline_selected_worst_error,method_selected_worst_error,selected_worst_error_diff
all_windows_continuous,random,11,True,False,-1,0.0600601953060511,0.1160540028861688,0.0559938075801177
all_windows_continuous,random,23,True,True,0,0.0600601953060511,0.1111552405063265,0.0510950452002754
all_windows_continuous,random,37,True,False,-1,0.0600601953060511,0.1185220522104563,0.058461856904405196
all_windows_continuous,random,41,True,False,-1,0.0600601953060511,0.1535888084946845,0.09352861318863341
all_windows_continuous,random,53,True,True,0,0.0600601953060511,0.0925646306997911,0.03250443539374
all_windows_continuous,random,67,True,False,-1,0.0600601953060511,0.1237738002442984,0.0637136049382473
all_windows_continuous,random,79,True,False,-1,0.0600601953060511,0.1190006170152644,0.058940421709213306
all_windows_continuous,random,83,True,False,-1,0.0600601953060511,0.1508782214607128,0.09081802615466171
all_windows_continuous,random,97,True,False,-1,0.0600601953060511,0.1480464859425196,0.0879862906364685
all_windows_continuous,random,101,True,False,-1,0.0600601953060511,0.125930703429425,0.0658705081233739
all_windows_continuous,random,107,True,False,-1,0.0600601953060511,0.1486689201897716,0.0886087248837205
all_windows_continuous,random,109,True,False,-1,0.0600601953060511,0.1220328147645346,0.06197261945848351
all_windows_continuous,random,113,True,False,-1,0.0600601953060511,0.1170352332527989,0.0569750379467478
all_windows_continuous,random,127,True,False,-1,0.0600601953060511,0.1520693688836135,0.0920091735775624
all_windows_continuous,random,131,True,False,-1,0.0600601953060511,0.1190988812175266,0.0590386859114755
all_windows_continuous,random,137,True,False,-1,0.0600601953060511,0.1204727753247888,0.0604125800187377
all_windows_continuous,random,139,True,True,0,0.0600601953060511,0.113295038429345,0.05323484312329391
all_windows_continuous,random,149,True,True,0,0.0600601953060511,0.113295038429345,0.05323484312329391
all_windows_continuous,random,151,True,False,-1,0.0600601953060511,0.1181777645782417,0.0581175692721906
all_windows_continuous,random,157,True,False,-1,0.0600601953060511,0.1200763613068571,0.060016166000806004
all_windows_continuous,random,163,True,False,-1,0.0600601953060511,0.1190988812175266,0.0590386859114755
all_windows_continuous,random,167,True,False,-1,0.0600601953060511,0.1279209916614097,0.06786079635535859
all_windows_continuous,random,173,True,True,0,0.0600601953060511,0.1118365573713889,0.0517763620653378
all_windows_continuous,random,179,True,True,0,0.0600601953060511,0.1141620992981263,0.054101903992075207
all_windows_continuous,random,181,True,True,0,0.0600601953060511,0.0846623615241569,0.024602166218105806
all_windows_continuous,random,191,True,True,0,0.0600601953060511,0.0891852628715516,0.029125067565500498
all_windows_continuous,random,193,True,True,0,0.0600601953060511,0.0881467206672208,0.028086525361169706
all_windows_continuous,random,197,True,True,0,0.0600601953060511,0.113295038429345,0.05323484312329391
all_windows_continuous,random,199,True,False,-1,0.0600601953060511,0.124155555806852,0.0640953605008009
all_windows_continuous,random,211,True,True,0,0.0600601953060511,0.1100227636164626,0.0499625683104115
all_windows_continuous,cross_entropy,11,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,cross_entropy,23,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,cross_entropy,37,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,cross_entropy,41,True,True,0,0.0600601953060511,0.0922072907281229,0.03214709542207181
all_windows_continuous,cross_entropy,53,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,cross_entropy,67,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,cross_entropy,79,True,True,0,0.0600601953060511,0.0922072907281229,0.03214709542207181
all_windows_continuous,cross_entropy,83,True,True,0,0.0600601953060511,0.0876302659683052,0.0275700706622541
all_windows_continuous,cross_entropy,97,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,cross_entropy,101,True,True,0,0.0600601953060511,0.0891852628715516,0.029125067565500498
all_windows_continuous,cross_entropy,107,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,cross_entropy,109,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,cross_entropy,113,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,cross_entropy,127,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,cross_entropy,131,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,cross_entropy,137,True,True,0,0.0600601953060511,0.0925646306997911,0.03250443539374
all_windows_continuous,cross_entropy,139,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
