threshold_id,threshold_label,nominal_threshold,selected_worst_threshold,method,runs,successes,success_count,success_rate,refined_nominal_error_median,refined_selected_worst_error_median
configured_0p09_0p17,Configured,0.09,0.17,random,30,11,11/30,0.36666666666666664,0.09281683290606191,0.11876133461286034
configured_0p09_0p17,Configured,0.09,0.17,cross_entropy,30,30,30/30,1.0,0.0690121126015381,0.0940745290922824
configured_0p09_0p17,Configured,0.09,0.17,genetic,30,30,30/30,1.0,0.0674629379621564,0.0925646306997911
configured_0p09_0p17,Configured,0.09,0.17,true_sa,30,30,30/30,1.0,0.0690121126015381,0.0940745290922824
configured_0p09_0p17,Configured,0.09,0.17,surrogate_qubo_sa,30,30,30/30,1.0,0.0690121126015381,0.0940745290922824
configured_0p09_0p17,Configured,0.09,0.17,qaoa_statevector,30,13,13/30,0.43333333333333335,0.09484072073132455,0.1208303741178268
configured_0p09_0p17,Configured,0.09,0.17,all_windows_continuous,30,30,30/30,1.0,0.0385672066601305,0.0600601953060511
stricter_0p075_0p12,Stricter,0.075,0.12,random,30,4,4/30,0.13333333333333333,0.09281683290606191,0.11876133461286034
stricter_0p075_0p12,Stricter,0.075,0.12,cross_entropy,30,30,30/30,1.0,0.0690121126015381,0.0940745290922824
stricter_0p075_0p12,Stricter,0.075,0.12,genetic,30,30,30/30,1.0,0.0674629379621564,0.0925646306997911
stricter_0p075_0p12,Stricter,0.075,0.12,true_sa,30,30,30/30,1.0,0.0690121126015381,0.0940745290922824
stricter_0p075_0p12,Stricter,0.075,0.12,surrogate_qubo_sa,30,30,30/30,1.0,0.0690121126015381,0.0940745290922824
stricter_0p075_0p12,Stricter,0.075,0.12,qaoa_statevector,30,13,13/30,0.43333333333333335,0.09484072073132455,0.1208303741178268
stricter_0p075_0p12,Stricter,0.075,0.12,all_windows_continuous,30,30,30/30,1.0,0.0385672066601305,0.0600601953060511
stringent_0p065_0p10,Stringent,0.065,0.1,random,30,3,3/30,0.1,0.09281683290606191,0.11876133461286034
stringent_0p065_0p10,Stringent,0.065,0.1,cross_entropy,30,2,2/30,0.06666666666666667,0.0690121126015381,0.0940745290922824
stringent_0p065_0p10,Stringent,0.065,0.1,genetic,30,4,4/30,0.13333333333333333,0.0674629379621564,0.0925646306997911
stringent_0p065_0p10,Stringent,0.065,0.1,true_sa,30,1,1/30,0.03333333333333333,0.0690121126015381,0.0940745290922824
stringent_0p065_0p10,Stringent,0.065,0.1,surrogate_qubo_sa,30,2,2/30,0.06666666666666667,0.0690121126015381,0.0940745290922824
stringent_0p065_0p10,Stringent,0.065,0.1,qaoa_statevector,30,8,8/30,0.26666666666666666,0.09484072073132455,0.1208303741178268
stringent_0p065_0p10,Stringent,0.065,0.1,all_windows_continuous,30,30,30/30,1.0,0.0385672066601305,0.0600601953060511
continuous_dominance_0p05_0p09,Tight,0.05,0.09,random,30,0,0/30,0.0,0.09281683290606191,0.11876133461286034
continuous_dominance_0p05_0p09,Tight,0.05,0.09,cross_entropy,30,0,0/30,0.0,0.0690121126015381,0.0940745290922824
continuous_dominance_0p05_0p09,Tight,0.05,0.09,genetic,30,0,0/30,0.0,0.0674629379621564,0.0925646306997911
continuous_dominance_0p05_0p09,Tight,0.05,0.09,true_sa,30,0,0/30,0.0,0.0690121126015381,0.0940745290922824
continuous_dominance_0p05_0p09,Tight,0.05,0.09,surrogate_qubo_sa,30,0,0/30,0.0,0.0690121126015381,0.0940745290922824
continuous_dominance_0p05_0p09,Tight,0.05,0.09,qaoa_statevector,30,0,0/30,0.0,0.09484072073132455,0.1208303741178268
continuous_dominance_0p05_0p09,Tight,0.05,0.09,all_windows_continuous,30,30,30/30,1.0,0.0385672066601305,0.0600601953060511
