method,analysis_stage,oracle,iterations,initial_state,states_in_support,feasible_support_probability,expected_selected_worst_error,initial_expected_selected_worst_error,expected_nominal_error,probability_best_state,initial_probability_best_state,probability_good_set,probability_pareto_frontier,top_schedule,top_schedule_probability,top_schedule_selected_worst_error,best_schedule,best_selected_worst_error,top3_schedules,predeclared_protocol_name,predeclared_good_rule,predeclared_iteration_rule,predeclared_iteration_cap,initial_good_probability_predeclared,predicted_good_probability_predeclared
grover_uniform_thresholdle0p105574892545_r6,exploratory_sweep,threshold<=0.105574892545,6,uniform,66,1.0,0.10558419240944064,0.11375786488534918,0.07977406202567353,0.9988807297435819,0.015151515151515152,0.9988807297435819,0.9988807297435819,111111111100,0.9988807297435819,0.1055748925448516,111111111100,0.1055748925448516,111111111100:0.999; 001111111111:0.000; 010111111111:0.000,,,,,,
grover_uniform_top_1_r6,exploratory_sweep,top_1,6,uniform,66,1.0,0.10558419240944064,0.11375786488534918,0.07977406202567353,0.9988807297435819,0.015151515151515152,0.9988807297435819,0.9988807297435819,111111111100,0.9988807297435819,0.1055748925448516,111111111100,0.1055748925448516,111111111100:0.999; 001111111111:0.000; 010111111111:0.000,,,,,,
grover_uniform_top_2_r4,exploratory_sweep,top_2,4,uniform,66,1.0,0.1055898925630128,0.11375786488534918,0.0798836522339896,0.4999922968965849,0.015151515151515152,0.9999845937931698,0.4999922968965849,111111111001,0.4999922968965849,0.1056046330372665,111111111100,0.1055748925448516,111111111001:0.500; 111111111100:0.500; 001111111111:0.000,,,,,,
grover_warm_top_2_r1,exploratory_sweep,top_2,1,inverse,66,1.0,0.10560395128688618,0.108671256502909,0.07989466507638936,0.5142161000403436,0.1201242112368671,0.996348617182711,0.5142161000403436,111111111100,0.5142161000403436,0.1055748925448516,111111111100,0.1055748925448516,111111111100:0.514; 111111111001:0.482; 111111111010:0.000,,,,,,
predeclared_protocol_dual_candidate_warm_amplification,predeclared_protocol,top_2,1,inverse,66,1.0,0.10560395128688618,0.108671256502909,0.07989466507638936,0.5142161000403436,0.1201242112368671,0.996348617182711,0.5142161000403436,111111111100,0.5142161000403436,0.1055748925448516,111111111100,0.1055748925448516,111111111100:0.514; 111111111001:0.482; 111111111010:0.000,dual_candidate_warm_amplification,top_2_recorded_selected_worst_error_or_all_states_if_M_lt_2,argmax_r_in_0..cap sin^2((2r+1)asin(sqrt(a0))) with smaller-r tie break,12.0,0.23275348972275725,0.9963486171827107
grover_warm_thresholdle0p105574892545_r6,exploratory_sweep,threshold<=0.105574892545,6,inverse,66,1.0,0.10561827840183605,0.108671256502909,0.07981033759982363,0.9876712926346966,0.1201242112368671,0.9876712926346966,0.9876712926346966,111111111100,0.9876712926346966,0.1055748925448516,111111111100,0.1055748925448516,111111111100:0.988; 111111111001:0.002; 111111111010:0.001,,,,,,
grover_warm_top_1_r6,exploratory_sweep,top_1,6,inverse,66,1.0,0.10561827840183605,0.108671256502909,0.07981033759982363,0.9876712926346966,0.1201242112368671,0.9876712926346966,0.9876712926346966,111111111100,0.9876712926346966,0.1055748925448516,111111111100,0.1055748925448516,111111111100:0.988; 111111111001:0.002; 111111111010:0.001,,,,,,
grover_warm_top_3_r6,exploratory_sweep,top_3,6,inverse,66,1.0,0.10562755310141436,0.108671256502909,0.07990812640790161,0.37255714398735823,0.1201242112368671,0.9999858550787784,0.37255714398735823,111111111100,0.37255714398735823,0.1055748925448516,111111111100,0.1055748925448516,111111111100:0.373; 111111111001:0.349; 111111111010:0.278,,,,,,
grover_uniform_top_3_r3,exploratory_sweep,top_3,3,uniform,66,1.0,0.10567336115768887,0.11375786488534918,0.07995425169275823,0.33184602150135933,0.015151515151515152,0.995538064504078,0.33184602150135933,111111111001,0.33184602150135933,0.1056046330372665,111111111100,0.1055748925448516,111111111001:0.332; 111111111010:0.332; 111111111100:0.332,,,,,,
grover_warm_thresholdle0p105574892545_r2,exploratory_sweep,threshold<=0.105574892545,2,inverse,66,1.0,0.10571224096202636,0.108671256502909,0.07990928714775074,0.9609704968362842,0.1201242112368671,0.9609704968362842,0.9609704968362842,111111111100,0.9609704968362842,0.1055748925448516,111111111100,0.1055748925448516,111111111100:0.961; 111111111001:0.005; 111111111010:0.004,,,,,,
grover_warm_top_1_r2,exploratory_sweep,top_1,2,inverse,66,1.0,0.10571224096202636,0.108671256502909,0.07990928714775074,0.9609704968362842,0.1201242112368671,0.9609704968362842,0.9609704968362842,111111111100,0.9609704968362842,0.1055748925448516,111111111100,0.1055748925448516,111111111100:0.961; 111111111001:0.005; 111111111010:0.004,,,,,,
grover_warm_top_5_r11,exploratory_sweep,top_5,11,inverse,66,1.0,0.10571302055303763,0.108671256502909,0.08003801768153891,0.2562507651533081,0.1201242112368671,0.9979801816854688,0.2562507651533081,111111111100,0.2562507651533081,0.1055748925448516,111111111100,0.1055748925448516,111111111100:0.256; 111111111001:0.240; 111111111010:0.191,,,,,,
grover_warm_top_2_r4,exploratory_sweep,top_2,4,inverse,66,1.0,0.10572000775065638,0.108671256502909,0.08001311961683574,0.4993049947560898,0.1201242112368671,0.9674567580412596,0.4993049947560898,111111111100,0.4993049947560898,0.1055748925448516,111111111100,0.1055748925448516,111111111100:0.499; 111111111001:0.468; 111111111010:0.004,,,,,,
grover_uniform_top_5_r8,exploratory_sweep,top_5,8,uniform,66,1.0,0.10574308748855946,0.11375786488534918,0.0800799701973549,0.19984439885099672,0.015151515151515152,0.9992219942549836,0.19984439885099672,111111110101,0.19984439885099672,0.1060150397456055,111111111100,0.1055748925448516,111111110101:0.200; 111111110110:0.200; 111111111001:0.200,,,,,,
grover_warm_thresholdle0p106540504405_r8,exploratory_sweep,threshold<=0.106540504405,8,inverse,66,1.0,0.10582401200223455,0.108671256502909,0.08015656745714225,0.22046687549743127,0.1201242112368671,0.9990907454644001,0.22046687549743127,111111111100,0.22046687549743127,0.1055748925448516,111111111100,0.1055748925448516,111111111100:0.220; 111111111001:0.207; 111111111010:0.165,,,,,,
grover_warm_thresholdle0p105574892545_r11,exploratory_sweep,threshold<=0.105574892545,11,inverse,66,1.0,0.10585587302425155,0.108671256502909,0.08006054236681068,0.9201554067002594,0.1201242112368671,0.9201554067002594,0.9201554067002594,111111111100,0.9201554067002594,0.1055748925448516,111111111100,0.1055748925448516,111111111100:0.920; 111111111001:0.010; 111111111010:0.008,,,,,,
grover_warm_top_1_r11,exploratory_sweep,top_1,11,inverse,66,1.0,0.10585587302425155,0.108671256502909,0.08006054236681068,0.9201554067002594,0.1201242112368671,0.9201554067002594,0.9201554067002594,111111111100,0.9201554067002594,0.1055748925448516,111111111100,0.1055748925448516,111111111100:0.920; 111111111001:0.010; 111111111010:0.008,,,,,,
grover_warm_top_5_r9,exploratory_sweep,top_5,9,inverse,66,1.0,0.10586847787241557,0.108671256502909,0.0801950040387418,0.24909722178266352,0.1201242112368671,0.9701203838485344,0.24909722178266352,111111111100,0.24909722178266352,0.1055748925448516,111111111100,0.1055748925448516,111111111100:0.249; 111111111001:0.234; 111111111010:0.186,,,,,,
grover_warm_top_3_r1,exploratory_sweep,top_3,1,inverse,66,1.0,0.10588295569192603,0.108671256502909,0.08016969821500747,0.35137504558602634,0.1201242112368671,0.943130687692866,0.35137504558602634,111111111100,0.35137504558602634,0.1055748925448516,111111111100,0.1055748925448516,111111111100:0.351; 111111111001:0.329; 111111111010:0.262,,,,,,
grover_warm_top_8_r4,exploratory_sweep,top_8,4,inverse,66,1.0,0.10588766496017246,0.108671256502909,0.08022740440144033,0.20620065321341086,0.1201242112368671,0.9969776847535532,0.20620065321341086,111111111100,0.20620065321341086,0.1055748925448516,111111111100,0.1055748925448516,111111111100:0.206; 111111111001:0.193; 111111111010:0.154,,,,,,
grover_warm_top_3_r11,exploratory_sweep,top_3,11,inverse,66,1.0,0.10589883133606057,0.108671256502909,0.0801859573332761,0.3500583813518504,0.1201242112368671,0.9395966107564463,0.3500583813518504,111111111100,0.3500583813518504,0.1055748925448516,111111111100,0.1055748925448516,111111111100:0.350; 111111111001:0.328; 111111111010:0.261,,,,,,
grover_warm_top_2_r7,exploratory_sweep,top_2,7,inverse,66,1.0,0.10594536517029848,0.108671256502909,0.08024313360065607,0.47035074178553316,0.1201242112368671,0.9113548003108245,0.47035074178553316,111111111100,0.47035074178553316,0.1055748925448516,111111111100,0.1055748925448516,111111111100:0.470; 111111111001:0.441; 111111111010:0.010,,,,,,
grover_uniform_thresholdle0p105574892545_r5,exploratory_sweep,threshold<=0.105574892545,5,uniform,66,1.0,0.10594738393322914,0.11375786488534918,0.08014167001908323,0.9551693975980828,0.015151515151515152,0.9551693975980828,0.9551693975980828,111111111100,0.9551693975980828,0.1055748925448516,111111111100,0.1055748925448516,111111111100:0.955; 001111111111:0.001; 010111111111:0.001,,,,,,
grover_uniform_top_1_r5,exploratory_sweep,top_1,5,uniform,66,1.0,0.10594738393322914,0.11375786488534918,0.08014167001908323,0.9551693975980828,0.015151515151515152,0.9551693975980828,0.9551693975980828,111111111100,0.9551693975980828,0.1055748925448516,111111111100,0.1055748925448516,111111111100:0.955; 001111111111:0.001; 010111111111:0.001,,,,,,
grover_warm_thresholdle0p106540504405_r10,exploratory_sweep,threshold<=0.106540504405,10,inverse,66,1.0,0.10595364217162484,0.108671256502909,0.08028717822001283,0.21589844571836178,0.1201242112368671,0.9783879713933574,0.21589844571836178,111111111100,0.21589844571836178,0.1055748925448516,111111111100,0.1055748925448516,111111111100:0.216; 111111111001:0.202; 111111111010:0.161,,,,,,
grover_uniform_top_3_r10,exploratory_sweep,top_3,10,uniform,66,1.0,0.10597304942551598,0.11375786488534918,0.08025425031746972,0.3201063240213979,0.015151515151515152,0.9603189720641936,0.3201063240213979,111111111001,0.3201063240213979,0.1056046330372665,111111111100,0.1055748925448516,111111111001:0.320; 111111111010:0.320; 111111111100:0.320,,,,,,
