method,oracle,iterations,state_index,state_label,coast_windows,schedule,probability,refined_selected_worst_error,refined_nominal_error,is_best_state,is_pareto_frontier
uniform_feasible,none,0,0,0,0,011111111111,0.08333333333333333,0.0940745290922824,0.0690121126015381,False,False
uniform_feasible,none,0,1,1,1,101111111111,0.08333333333333333,0.0925646306997911,0.0674629379621564,False,False
uniform_feasible,none,0,2,2,2,110111111111,0.08333333333333333,0.0922072907281229,0.0669946905744458,False,False
uniform_feasible,none,0,3,3,3,111011111111,0.08333333333333333,0.0891852628715516,0.0642622153311685,False,False
uniform_feasible,none,0,4,4,4,111101111111,0.08333333333333333,0.0881467206672208,0.0632678740837427,False,False
uniform_feasible,none,0,5,5,5,111110111111,0.08333333333333333,0.0876302659683052,0.062754548122028,False,False
uniform_feasible,none,0,6,6,6,111111011111,0.08333333333333333,0.0836849565091918,0.0600522997884915,False,False
uniform_feasible,none,0,7,7,7,111111101111,0.08333333333333333,0.0852143098547604,0.0605770719694452,False,False
uniform_feasible,none,0,8,8,8,111111110111,0.08333333333333333,0.0846623615241569,0.0600776590648171,False,False
uniform_feasible,none,0,9,9,9,111111111011,0.08333333333333333,0.0848356908620562,0.0603003605462355,False,True
uniform_feasible,none,0,10,10,10,111111111101,0.08333333333333333,0.0840670141736464,0.0595664825472062,False,True
uniform_feasible,none,0,11,11,11,111111111110,0.08333333333333333,0.0832614239111052,0.0587801873504588,True,True
warm_start_only,none,0,0,0,0,011111111111,0.009361272411425004,0.0940745290922824,0.0690121126015381,False,False
warm_start_only,none,0,1,1,1,101111111111,0.0108460790036397,0.0925646306997911,0.0674629379621564,False,False
warm_start_only,none,0,2,2,2,110111111111,0.01126909614271749,0.0922072907281229,0.0669946905744458,False,False
warm_start_only,none,0,3,3,3,111011111111,0.016815506878683294,0.0891852628715516,0.0642622153311685,False,False
warm_start_only,none,0,4,4,4,111101111111,0.020238698507137883,0.0881467206672208,0.0632678740837427,False,False
warm_start_only,none,0,5,5,5,111110111111,0.02251833503824566,0.0876302659683052,0.062754548122028,False,False
warm_start_only,none,0,6,6,6,111111011111,0.16137819116460164,0.0836849565091918,0.0600522997884915,False,False
warm_start_only,none,0,7,7,7,111111101111,0.047598831167013876,0.0852143098547604,0.0605770719694452,False,False
warm_start_only,none,0,8,8,8,111111110111,0.0638442553594712,0.0846623615241569,0.0600776590648171,False,False
warm_start_only,none,0,9,9,9,111111111011,0.05766391302888558,0.0848356908620562,0.0603003605462355,False,True
warm_start_only,none,0,10,10,10,111111111101,0.1010409283155034,0.0840670141736464,0.0595664825472062,False,True
warm_start_only,none,0,11,11,11,111111111110,0.47742489298267526,0.0832614239111052,0.0587801873504588,True,True
predeclared_protocol_dual_candidate_warm_amplification,top_2,2,0,0,0,011111111111,0.0001744903842002934,0.0940745290922824,0.0690121126015381,False,False
predeclared_protocol_dual_candidate_warm_amplification,top_2,2,1,1,1,101111111111,0.0002021665868949687,0.0925646306997911,0.0674629379621564,False,False
predeclared_protocol_dual_candidate_warm_amplification,top_2,2,2,2,2,110111111111,0.00021005145765579626,0.0922072907281229,0.0669946905744458,False,False
predeclared_protocol_dual_candidate_warm_amplification,top_2,2,3,3,3,111011111111,0.0003134343417037124,0.0891852628715516,0.0642622153311685,False,False
predeclared_protocol_dual_candidate_warm_amplification,top_2,2,4,4,4,111101111111,0.00037724126838937046,0.0881467206672208,0.0632678740837427,False,False
predeclared_protocol_dual_candidate_warm_amplification,top_2,2,5,5,5,111110111111,0.0004197327841436356,0.0876302659683052,0.062754548122028,False,False
predeclared_protocol_dual_candidate_warm_amplification,top_2,2,6,6,6,111111011111,0.2509250592959604,0.0836849565091918,0.0600522997884915,False,False
predeclared_protocol_dual_candidate_warm_amplification,top_2,2,7,7,7,111111101111,0.0008872232291499846,0.0852143098547604,0.0605770719694452,False,False
predeclared_protocol_dual_candidate_warm_amplification,top_2,2,8,8,8,111111110111,0.001190031456948056,0.0846623615241569,0.0600776590648171,False,False
predeclared_protocol_dual_candidate_warm_amplification,top_2,2,9,9,9,111111111011,0.0010748323408068527,0.0848356908620562,0.0603003605462355,False,True
predeclared_protocol_dual_candidate_warm_amplification,top_2,2,10,10,10,111111111101,0.0018833626057296537,0.0840670141736464,0.0595664825472062,False,True
predeclared_protocol_dual_candidate_warm_amplification,top_2,2,11,11,11,111111111110,0.7423423742484173,0.0832614239111052,0.0587801873504588,True,True
grover_warm_thresholdle0p0832614239111_r0,threshold<=0.0832614239111,0,0,0,0,011111111111,0.009361272411425004,0.0940745290922824,0.0690121126015381,False,False
grover_warm_thresholdle0p0832614239111_r0,threshold<=0.0832614239111,0,1,1,1,101111111111,0.0108460790036397,0.0925646306997911,0.0674629379621564,False,False
grover_warm_thresholdle0p0832614239111_r0,threshold<=0.0832614239111,0,2,2,2,110111111111,0.01126909614271749,0.0922072907281229,0.0669946905744458,False,False
grover_warm_thresholdle0p0832614239111_r0,threshold<=0.0832614239111,0,3,3,3,111011111111,0.016815506878683294,0.0891852628715516,0.0642622153311685,False,False
grover_warm_thresholdle0p0832614239111_r0,threshold<=0.0832614239111,0,4,4,4,111101111111,0.020238698507137887,0.0881467206672208,0.0632678740837427,False,False
grover_warm_thresholdle0p0832614239111_r0,threshold<=0.0832614239111,0,5,5,5,111110111111,0.02251833503824566,0.0876302659683052,0.062754548122028,False,False
grover_warm_thresholdle0p0832614239111_r0,threshold<=0.0832614239111,0,6,6,6,111111011111,0.16137819116460161,0.0836849565091918,0.0600522997884915,False,False
grover_warm_thresholdle0p0832614239111_r0,threshold<=0.0832614239111,0,7,7,7,111111101111,0.04759883116701388,0.0852143098547604,0.0605770719694452,False,False
grover_warm_thresholdle0p0832614239111_r0,threshold<=0.0832614239111,0,8,8,8,111111110111,0.0638442553594712,0.0846623615241569,0.0600776590648171,False,False
grover_warm_thresholdle0p0832614239111_r0,threshold<=0.0832614239111,0,9,9,9,111111111011,0.05766391302888557,0.0848356908620562,0.0603003605462355,False,True
