method,analysis_stage,oracle,iterations,initial_state,states_in_support,feasible_support_probability,expected_selected_worst_error,initial_expected_selected_worst_error,expected_nominal_error,probability_best_state,initial_probability_best_state,probability_good_set,probability_pareto_frontier,top_schedule,top_schedule_probability,top_schedule_selected_worst_error,best_schedule,best_selected_worst_error,top3_schedules,predeclared_protocol_name,predeclared_good_rule,predeclared_iteration_rule,predeclared_iteration_cap,initial_good_probability_predeclared,predicted_good_probability_predeclared
grover_uniform_thresholdle0p0832614239111_r2,exploratory_sweep,threshold<=0.0832614239111,2,uniform,12,1.0,0.08331327305712262,0.0874612047385159,0.05882930894689525,0.9886831275720165,0.08333333333333333,0.9886831275720165,0.9907407407407408,111111111110,0.9886831275720165,0.0832614239111052,111111111110,0.0832614239111052,111111111110:0.989; 011111111111:0.001; 101111111111:0.001,,,,,,
grover_uniform_top_1_r2,exploratory_sweep,top_1,2,uniform,12,1.0,0.08331327305712262,0.0874612047385159,0.05882930894689525,0.9886831275720165,0.08333333333333333,0.9886831275720165,0.9907407407407408,111111111110,0.9886831275720165,0.0832614239111052,111111111110,0.0832614239111052,111111111110:0.989; 011111111111:0.001; 101111111111:0.001,,,,,,
grover_warm_thresholdle0p0836849565092_r2,exploratory_sweep,threshold<=0.0836849565092,2,inverse,12,1.0,0.0833854880397595,0.0842841487476258,0.0591159908885959,0.7423423742484173,0.47742489298267526,0.9932674335443776,0.7453005691949538,111111111110,0.7423423742484173,0.0832614239111052,111111111110,0.0832614239111052,111111111110:0.742; 111111011111:0.251; 111111111101:0.002,,,,,,
grover_warm_top_2_r2,exploratory_sweep,top_2,2,inverse,12,1.0,0.0833854880397595,0.0842841487476258,0.0591159908885959,0.7423423742484173,0.47742489298267526,0.9932674335443776,0.7453005691949538,111111111110,0.7423423742484173,0.0832614239111052,111111111110,0.0832614239111052,111111111110:0.742; 111111011111:0.251; 111111111101:0.002,,,,,,
predeclared_protocol_dual_candidate_warm_amplification,predeclared_protocol,top_2,2,inverse,12,1.0,0.0833854880397595,0.0842841487476258,0.0591159908885959,0.7423423742484173,0.47742489298267526,0.9932674335443776,0.7453005691949538,111111111110,0.7423423742484173,0.0832614239111052,111111111110,0.0832614239111052,111111111110:0.742; 111111011111:0.251; 111111111101:0.002,dual_candidate_warm_amplification,top_2_recorded_selected_worst_error_or_all_states_if_M_lt_2,argmax_r_in_0..cap sin^2((2r+1)asin(sqrt(a0))) with smaller-r tie break,12.0,0.6388030841472769,0.9932674335443775
grover_warm_thresholdle0p0832614239111_r11,exploratory_sweep,threshold<=0.0832614239111,11,inverse,12,1.0,0.08339665837781414,0.0842841487476258,0.058925083950024715,0.9309001176178778,0.47742489298267526,0.9309001176178778,0.9518855907548657,111111111110,0.9309001176178778,0.0832614239111052,111111111110,0.0832614239111052,111111111110:0.931; 111111011111:0.021; 111111111101:0.013,,,,,,
grover_warm_top_1_r11,exploratory_sweep,top_1,11,inverse,12,1.0,0.08339665837781414,0.0842841487476258,0.058925083950024715,0.9309001176178778,0.47742489298267526,0.9309001176178778,0.9518855907548657,111111111110,0.9309001176178778,0.0832614239111052,111111111110,0.0832614239111052,111111111110:0.931; 111111011111:0.021; 111111111101:0.013,,,,,,
grover_warm_thresholdle0p0832614239111_r9,exploratory_sweep,threshold<=0.0832614239111,9,inverse,12,1.0,0.08349957054017461,0.0842841487476258,0.05903534890497962,0.8783157544162574,0.47742489298267526,0.8783157544162574,0.9152709760296729,111111111110,0.8783157544162574,0.0832614239111052,111111111110,0.0832614239111052,111111111110:0.878; 111111011111:0.038; 111111111101:0.024,,,,,,
grover_warm_top_1_r9,exploratory_sweep,top_1,9,inverse,12,1.0,0.08349957054017461,0.0842841487476258,0.05903534890497962,0.8783157544162574,0.47742489298267526,0.8783157544162574,0.9152709760296729,111111111110,0.8783157544162574,0.0832614239111052,111111111110,0.0832614239111052,111111111110:0.878; 111111011111:0.038; 111111111101:0.024,,,,,,
grover_uniform_thresholdle0p0836849565092_r5,exploratory_sweep,threshold<=0.0836849565092,5,uniform,12,1.0,0.08350891748216846,0.0874612047385159,0.05944619052108899,0.4962672243955584,0.08333333333333333,0.9925344487911169,0.49776033463733504,111111011111,0.4962672243955584,0.0836849565091918,111111111110,0.0832614239111052,111111011111:0.496; 111111111110:0.496; 011111111111:0.001,,,,,,
