method,mixer_topology,warm_start_mode,depth,restarts,seed,expected_selected_worst_error,expected_normalized_cost,expected_nominal_error,probability_best_one_coast,probability_pareto_frontier,top_schedule,top_schedule_probability,top_schedule_selected_worst_error,best_one_coast_schedule,best_one_coast_selected_worst_error,angles
uniform_match_complete_p1_r1,complete,uniform,1,1,20271629,0.10983427348626168,0.19060959674406716,0.08422749205632737,0.0399748536101789,0.0399748536101789,111111111100,0.0399748536101789,0.1055748925448516,111111111100,0.1055748925448516,"[2.6964746314562826, 2.4539120238106125]"
uniform_match_complete_p1_r4,complete,uniform,1,4,20271632,0.10983427348617793,0.190609596740319,0.08422749203827405,0.039974862077469954,0.039974862077469954,111111111100,0.039974862077469954,0.1055748925448516,111111111100,0.1055748925448516,"[2.696485295508579, 2.073112968349275]"
uniform_match_complete_p1_r8,complete,uniform,1,8,20271636,0.10983427348617807,0.19060959674032443,0.08422749203790732,0.03997486227542351,0.03997486227542351,111111111100,0.03997486227542351,0.1055748925448516,111111111100,0.1055748925448516,"[2.6964854237329288, 1.7875136366957387]"
uniform_match_complete_p2_r1,complete,uniform,2,1,20271639,0.10983427348617808,0.19060959674032596,0.0842274920351185,0.039974864037058036,0.039974864037058036,111111111100,0.039974864037058036,0.1055748925448516,111111111100,0.1055748925448516,"[1.2919099114441792, 1.4045755729024063, 0.0, 0.6451163055899574]"
uniform_match_complete_p2_r4,complete,uniform,2,4,20271642,0.10821232721343126,0.11802662535517656,0.08262649509348416,0.06558934240024508,0.06558934240024508,111111111100,0.06558934240024508,0.1055748925448516,111111111100,0.1055748925448516,"[2.3157410385998296, 4.399761096006094, 2.924413969321347, 1.7936454846592382]"
uniform_match_complete_p2_r8,complete,uniform,2,8,20271646,0.1082123272132144,0.11802662534547204,0.0826264948718586,0.06558949804947177,0.06558949804947177,111111111100,0.06558949804947177,0.1055748925448516,111111111100,0.1055748925448516,"[2.31574214920585, 4.399777745592237, 0.5444195406827923, 2.84084290668833]"
uniform_match_complete_p3_r1,complete,uniform,3,1,20271649,0.10730874794744791,0.07759096536502734,0.08171479885153789,0.09491072914038891,0.09491072914038891,111111111100,0.09491072914038891,0.1055748925448516,111111111100,0.1055748925448516,"[2.241285526459476, 4.2598061826136195, 4.987035243191129, 0.16009399959616896, 0.16995486476090185, 0.27241469414462416]"
uniform_match_complete_p3_r4,complete,uniform,3,4,20271652,0.10730874794472238,0.07759096524305743,0.081714798047624,0.09491138595304394,0.09491138595304394,111111111100,0.09491138595304394,0.1055748925448516,111111111100,0.1055748925448516,"[2.2413052481394833, 4.259809933429147, 4.98701112167641, 0.6360927716463811, 1.0267523130672689, 2.4620096058734426]"
uniform_match_complete_p3_r8,complete,uniform,3,8,20271656,0.10730874794461154,0.0775909652380965,0.08171479810584824,0.09491134065928021,0.09491134065928021,111111111100,0.09491134065928021,0.1055748925448516,111111111100,0.1055748925448516,"[2.2413023961103384, 4.2598077636208265, 4.987032275402722, 2.159289226779144, 2.6451485228233915, 2.3668098265787787]"
uniform_match_complete_p4_r1,complete,uniform,4,1,20271659,0.10663481378478122,0.047432047732405024,0.08102932856424883,0.12315595813223332,0.12315595813223332,111111111100,0.12315595813223332,0.1055748925448516,111111111100,0.1055748925448516,"[2.1445959590413546, 4.2475713350086215, 4.838695312905845, 4.992921195740808, 1.1110076431696183, 0.5480378234280975, 0.4582660403265128, 1.2250355132973783]"
uniform_match_complete_p4_r4,complete,uniform,4,4,20271662,0.10663481378478122,0.047432047732405024,0.08102932856424883,0.12315595813223332,0.12315595813223332,111111111100,0.12315595813223332,0.1055748925448516,111111111100,0.1055748925448516,"[2.1445959590413546, 4.2475713350086215, 4.838695312905845, 4.992921195740808, 1.1110076431696183, 0.5480378234280975, 0.4582660403265128, 1.2250355132973783]"
uniform_match_complete_p4_r8,complete,uniform,4,8,20269618,0.1066348137757941,0.04743204733022546,0.08102932762570474,0.123156652010874,0.123156652010874,111111111100,0.123156652010874,0.1055748925448516,111111111100,0.1055748925448516,"[2.1445573824553827, 4.24760879656607, 4.838680689137322, 4.992859988719645, 2.2534042647004005, 0.2624382539626005, 1.410263442798891, 1.320234989565838]"
uniform_match_cycle_p1_r1,cycle,uniform,1,1,20270629,0.11375786488534918,0.3661924301783006,0.08804712772476933,0.015151515151515152,0.015151515151515152,001111111111,0.015151515151515152,0.1279209916614097,111111111100,0.1055748925448516,"[0.0, 0.0]"
uniform_match_cycle_p1_r4,cycle,uniform,1,4,20270632,0.11340561226734076,0.35042893534320385,0.08770946896148628,0.012524059330161638,0.012524059330161638,111111111001,0.030213300547189025,0.1056046330372665,111111111100,0.1055748925448516,"[5.1149893471840775, 3.0653908271671275]"
uniform_match_cycle_p1_r8,cycle,uniform,1,8,20270636,0.11340561226423616,0.35042893520427126,0.08770946986458539,0.012525148969701184,0.012525148969701184,111111111001,0.030212497577229377,0.1056046330372665,111111111100,0.1055748925448516,"[5.115042701748207, 3.0653184774804005]"
uniform_match_cycle_p2_r1,cycle,uniform,2,1,20270639,0.11375786488534918,0.3661924301783006,0.08804712772476933,0.015151515151515152,0.015151515151515152,001111111111,0.015151515151515152,0.1279209916614097,111111111100,0.1055748925448516,"[0.0, 0.0, 0.0, 0.0]"
