method,mixer_topology,warm_start_mode,depth,restarts,seed,expected_selected_worst_error,expected_normalized_cost,expected_nominal_error,probability_best_one_coast,probability_pareto_frontier,top_schedule,top_schedule_probability,top_schedule_selected_worst_error,best_one_coast_schedule,best_one_coast_selected_worst_error,angles
uniform_match_complete_p4_r8,complete,uniform,4,8,20269618,0.1066348137757941,0.04743204733022546,0.08102932762570474,0.123156652010874,0.123156652010874,111111111100,0.123156652010874,0.1055748925448516,111111111100,0.1055748925448516,"[2.1445573824553827, 4.24760879656607, 4.838680689137322, 4.992859988719645, 2.2534042647004005, 0.2624382539626005, 1.410263442798891, 1.320234989565838]"
structured_inverse_path_p1_r1,path,inverse,1,1,20260629,0.108671256502909,0.13856395883266456,0.08302535007203231,0.1201242112368671,0.1201242112368671,111111111100,0.1201242112368671,0.1055748925448516,111111111100,0.1055748925448516,"[0.19216238501040608, 0.0]"
structured_inverse_path_p1_r4,path,inverse,1,4,20260632,0.108671256502909,0.13856395883266456,0.08302535007203231,0.1201242112368671,0.1201242112368671,111111111100,0.1201242112368671,0.1055748925448516,111111111100,0.1055748925448516,"[0.19216238501040608, 0.0]"
structured_inverse_path_p1_r8,path,inverse,1,8,20260636,0.108671256502909,0.13856395883266456,0.08302535007203231,0.1201242112368671,0.1201242112368671,111111111100,0.1201242112368671,0.1055748925448516,111111111100,0.1055748925448516,"[0.19216238501040608, 0.0]"
structured_inverse_path_p2_r1,path,inverse,2,1,20260639,0.108671256502909,0.13856395883266456,0.08302535007203231,0.1201242112368671,0.1201242112368671,111111111100,0.1201242112368671,0.1055748925448516,111111111100,0.1055748925448516,"[0.1728031112759552, 0.21765024258060076, 0.0, 0.0]"
structured_inverse_path_p2_r4,path,inverse,2,4,20260642,0.108671256502909,0.13856395883266456,0.08302535007203231,0.1201242112368671,0.1201242112368671,111111111100,0.1201242112368671,0.1055748925448516,111111111100,0.1055748925448516,"[0.1728031112759552, 0.21765024258060076, 0.0, 0.0]"
structured_inverse_path_p2_r8,path,inverse,2,8,20260646,0.108671256502909,0.13856395883266456,0.08302535007203231,0.1201242112368671,0.1201242112368671,111111111100,0.1201242112368671,0.1055748925448516,111111111100,0.1055748925448516,"[0.1728031112759552, 0.21765024258060076, 0.0, 0.0]"
structured_inverse_path_p3_r1,path,inverse,3,1,20260649,0.10867125650290899,0.13856395883266456,0.08302535007203231,0.1201242112368671,0.1201242112368671,111111111100,0.1201242112368671,0.1055748925448516,111111111100,0.1055748925448516,"[0.15441602722806533, 0.18149151961401688, 0.21690171652987122, 0.0, 0.0, 0.0]"
structured_inverse_path_p3_r4,path,inverse,3,4,20260652,0.10867125650290899,0.13856395883266456,0.08302535007203231,0.1201242112368671,0.1201242112368671,111111111100,0.1201242112368671,0.1055748925448516,111111111100,0.1055748925448516,"[0.15441602722806533, 0.18149151961401688, 0.21690171652987122, 0.0, 0.0, 0.0]"
structured_inverse_path_p3_r8,path,inverse,3,8,20260656,0.10867125650290899,0.13856395883266456,0.08302535007203231,0.1201242112368671,0.1201242112368671,111111111100,0.1201242112368671,0.1055748925448516,111111111100,0.1055748925448516,"[0.15441602722806533, 0.18149151961401688, 0.21690171652987122, 0.0, 0.0, 0.0]"
