structured_method,matched_uniform_method,mixer_topology,warm_start_mode,depth,restarts,restart_grid,structured_expected_selected_worst_error,matched_uniform_expected_selected_worst_error,structured_minus_matched_uniform_selected_worst_error,absolute_selected_worst_error_difference,structured_probability_best_one_coast,matched_uniform_probability_best_one_coast,structured_probability_pareto_frontier,matched_uniform_probability_pareto_frontier,structured_restart_grid_expected_selected_worst_error_min,structured_restart_grid_expected_selected_worst_error_max,structured_restart_grid_expected_selected_worst_error_spread,structured_restart_grid_probability_best_one_coast_min,structured_restart_grid_probability_best_one_coast_max,comparison_basis
structured_inverse_complete_p4_r8,uniform_match_complete_p4_r8,complete,inverse,4,8,"[1, 4, 8]",0.10622367343274204,0.1066348137757941,-0.00041114034305206326,0.00041114034305206326,0.179971463256841,0.123156652010874,0.179971463256841,0.123156652010874,0.10622367343274204,0.106374015143687,0.00015034171094495397,0.17620512085051732,0.179971463256841,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_inverse_complete_p3_r8,uniform_match_complete_p3_r8,complete,inverse,3,8,"[1, 4, 8]",0.10649957223063729,0.10730874794461154,-0.00080917571397425,0.00080917571397425,0.16769135442540076,0.09491134065928021,0.16769135442540076,0.09491134065928021,0.10649957223063729,0.10649957223088354,2.462474668618597e-13,0.1676911123773859,0.16769135442540076,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_exponential_complete_p4_r8,uniform_match_complete_p4_r8,complete,exponential,4,8,"[1, 4, 8]",0.1065104717983923,0.1066348137757941,-0.00012434197740179842,0.00012434197740179842,0.1304128249469274,0.123156652010874,0.1304128249469274,0.123156652010874,0.1065104717983923,0.10651049897852166,2.7180129355541816e-08,0.1304128249469274,0.13044501654815796,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_inverse_complete_p2_r8,uniform_match_complete_p2_r8,complete,inverse,2,8,"[1, 4, 8]",0.10686745131156539,0.1082123272132144,-0.0013448759016490147,0.0013448759016490147,0.15210532307651134,0.06558949804947177,0.15210532307651134,0.06558949804947177,0.10686745131156539,0.108671256502909,0.0018038051913436132,0.1201242112368671,0.15210532307651134,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_exponential_complete_p3_r4,uniform_match_complete_p3_r4,complete,exponential,3,4,"[1, 4, 8]",0.10706028190360384,0.10730874794472238,-0.00024846604111854187,0.00024846604111854187,0.10620557472990716,0.09491138595304394,0.10620557472990716,0.09491138595304394,0.10706028190360384,0.10706028190459652,9.92678161892968e-13,0.10620532179833124,0.10620567419135003,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_inverse_complete_p1_r4,uniform_match_complete_p1_r4,complete,inverse,1,4,"[1, 4, 8]",0.10742058536219921,0.10983427348617793,-0.0024136881239787134,0.0024136881239787134,0.13824854283996046,0.039974862077469954,0.13824854283996046,0.039974862077469954,0.10742058536219921,0.10742058536220012,9.020562075079397e-16,0.13824854186962343,0.1382485446267957,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_exponential_complete_p2_r8,uniform_match_complete_p2_r8,complete,exponential,2,8,"[1, 4, 8]",0.10781518351695318,0.1082123272132144,-0.0003971436962612179,0.0003971436962612179,0.07808790681817138,0.06558949804947177,0.07808790681817138,0.06558949804947177,0.10781518351695318,0.11063592652683883,0.0028207430098856484,0.03627279017356519,0.07808791495812234,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_inverse_cycle_p3_r8,uniform_match_cycle_p3_r8,cycle,inverse,3,8,"[1, 4, 8]",0.10865682658533159,0.11231067925137747,-0.003653852666045884,0.003653852666045884,0.12058741956321735,0.03615836959117173,0.12058741956321735,0.03615836959117173,0.10865682658533159,0.108671256502909,1.4429917577413187e-05,0.1201242112368671,0.12058741956321735,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_inverse_cycle_p2_r8,uniform_match_cycle_p2_r8,cycle,inverse,2,8,"[1, 4, 8]",0.10865686771772431,0.11332327001502085,-0.004666402297296535,0.004666402297296535,0.12069909988928638,0.011889514462296925,0.12069909988928638,0.011889514462296925,0.10865686771772431,0.10867125650290899,1.4388785184671349e-05,0.1201242112368671,0.12069909988928638,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_inverse_path_p3_r1,uniform_match_path_p3_r1,path,inverse,3,1,"[1, 4, 8]",0.10867125650290899,0.11355048335172159,-0.004879226848812604,0.004879226848812604,0.1201242112368671,0.0009447469321700703,0.1201242112368671,0.0009447469321700703,0.10867125650290899,0.10867125650290899,0.0,0.1201242112368671,0.1201242112368671,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_inverse_path_p4_r1,uniform_match_path_p4_r1,path,inverse,4,1,"[1, 4, 8]",0.10867125650290899,0.11355048324909581,-0.004879226746186821,0.004879226746186821,0.1201242112368671,0.0009447489375637526,0.1201242112368671,0.0009447489375637526,0.10867125650290899,0.10867125650290899,0.0,0.1201242112368671,0.1201242112368671,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_inverse_cycle_p1_r1,uniform_match_cycle_p1_r1,cycle,inverse,1,1,"[1, 4, 8]",0.108671256502909,0.11375786488534918,-0.005086608382440183,0.005086608382440183,0.1201242112368671,0.015151515151515152,0.1201242112368671,0.015151515151515152,0.108671256502909,0.108671256502909,0.0,0.1201242112368671,0.1201242112368671,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_inverse_cycle_p4_r1,uniform_match_cycle_p4_r1,cycle,inverse,4,1,"[1, 4, 8]",0.108671256502909,0.11375786488534918,-0.005086608382440183,0.005086608382440183,0.1201242112368671,0.015151515151515147,0.1201242112368671,0.015151515151515147,0.108671256502909,0.108671256502909,0.0,0.1201242112368671,0.1201242112368671,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_inverse_path_p1_r1,uniform_match_path_p1_r1,path,inverse,1,1,"[1, 4, 8]",0.108671256502909,0.11363478530500902,-0.00496352880210002,0.00496352880210002,0.1201242112368671,0.0014186099320840976,0.1201242112368671,0.0014186099320840976,0.108671256502909,0.108671256502909,0.0,0.1201242112368671,0.1201242112368671,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_inverse_path_p2_r1,uniform_match_path_p2_r1,path,inverse,2,1,"[1, 4, 8]",0.108671256502909,0.11355048324896279,-0.004879226746053789,0.004879226746053789,0.1201242112368671,0.0009447488867960036,0.1201242112368671,0.0009447488867960036,0.108671256502909,0.108671256502909,0.0,0.1201242112368671,0.1201242112368671,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_exponential_complete_p1_r4,uniform_match_complete_p1_r4,complete,exponential,1,4,"[1, 4, 8]",0.10886714551266793,0.10983427348617793,-0.000967127973509993,0.000967127973509993,0.05590663076964593,0.039974862077469954,0.05590663076964593,0.039974862077469954,0.10886714551266793,0.10886714551267306,5.1209037010835345e-15,0.05590662106371743,0.05590663077274454,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_exponential_cycle_p1_r1,uniform_match_cycle_p1_r1,cycle,exponential,1,1,"[1, 4, 8]",0.11063592652683883,0.11375786488534918,-0.003121938358510351,0.003121938358510351,0.03627279017356519,0.015151515151515152,0.03627279017356519,0.015151515151515152,0.11063592652683883,0.11063592652683883,0.0,0.03627279017356519,0.03627279017356519,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_exponential_cycle_p2_r1,uniform_match_cycle_p2_r1,cycle,exponential,2,1,"[1, 4, 8]",0.11063592652683883,0.11375786488534918,-0.003121938358510351,0.003121938358510351,0.03627279017356519,0.015151515151515152,0.03627279017356519,0.015151515151515152,0.11063592652683883,0.11063592652683883,0.0,0.03627279017356519,0.03627279017356519,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_exponential_cycle_p3_r1,uniform_match_cycle_p3_r1,cycle,exponential,3,1,"[1, 4, 8]",0.11063592652683883,0.11375786488534918,-0.003121938358510351,0.003121938358510351,0.03627279017356519,0.01515151515151515,0.03627279017356519,0.01515151515151515,0.11063592652683883,0.11063592652683883,0.0,0.03627279017356519,0.03627279017356519,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_exponential_cycle_p4_r1,uniform_match_cycle_p4_r1,cycle,exponential,4,1,"[1, 4, 8]",0.11063592652683883,0.11375786488534918,-0.003121938358510351,0.003121938358510351,0.03627279017356519,0.015151515151515147,0.03627279017356519,0.015151515151515147,0.11063592652683883,0.11063592652683883,0.0,0.03627279017356519,0.03627279017356519,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_exponential_path_p1_r1,uniform_match_path_p1_r1,path,exponential,1,1,"[1, 4, 8]",0.11063592652683883,0.11363478530500902,-0.002998858778170188,0.002998858778170188,0.03627279017356519,0.0014186099320840976,0.03627279017356519,0.0014186099320840976,0.11063592652683883,0.11063592652683883,0.0,0.03627279017356519,0.03627279017356519,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_exponential_path_p2_r1,uniform_match_path_p2_r1,path,exponential,2,1,"[1, 4, 8]",0.11063592652683883,0.11355048324896279,-0.0029145567221239566,0.0029145567221239566,0.03627279017356519,0.0009447488867960036,0.03627279017356519,0.0009447488867960036,0.11063592652683883,0.11063592652683883,0.0,0.03627279017356519,0.03627279017356519,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_exponential_path_p3_r1,uniform_match_path_p3_r1,path,exponential,3,1,"[1, 4, 8]",0.11063592652683883,0.11355048335172159,-0.002914556824882758,0.002914556824882758,0.03627279017356519,0.0009447469321700703,0.03627279017356519,0.0009447469321700703,0.11063592652683883,0.11063592652683883,0.0,0.03627279017356519,0.03627279017356519,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_exponential_path_p4_r1,uniform_match_path_p4_r1,path,exponential,4,1,"[1, 4, 8]",0.11063592652683883,0.11355048324909581,-0.002914556722256975,0.002914556722256975,0.03627279017356519,0.0009447489375637526,0.03627279017356519,0.0009447489375637526,0.11063592652683883,0.11063592652683883,0.0,0.03627279017356519,0.03627279017356519,"same feasible subspace, same mixer topology, same depth, same restart count"
