method,states_in_support,feasible_support_probability,expected_selected_worst_error,expected_nominal_error,probability_best_one_coast,probability_best_state,probability_pareto_frontier,top_schedule,top_schedule_probability,top_schedule_selected_worst_error,best_one_coast_schedule,best_schedule,best_one_coast_selected_worst_error,best_selected_worst_error,top3_schedules,mixer_topology,warm_start_mode,depth,restarts,restart_grid,best_restart_count,best_seed,restart_grid_size,restart_grid_expected_selected_worst_error_min,restart_grid_expected_selected_worst_error_median,restart_grid_expected_selected_worst_error_max,restart_grid_expected_selected_worst_error_spread,restart_grid_probability_best_one_coast_min,restart_grid_probability_best_one_coast_median,restart_grid_probability_best_one_coast_max,angles,initial_state,notes,expected_normalized_cost
uniform_feasible,66,1.0,0.11375786488534918,0.08804712772476933,0.015151515151515152,0.015151515151515152,0.015151515151515152,001111111111,0.015151515151515152,0.1279209916614097,111111111100,111111111100,0.1055748925448516,0.1055748925448516,001111111111:0.015; 010111111111:0.015; 011011111111:0.015,none,uniform,0,0,[],0,0,0,,,,,,,,[],uniform,feasible-subspace baseline with no mixer dynamics,
warm_start_only_inverse,66,1.0,0.108671256502909,0.08302535007203231,0.12012421123686709,0.12012421123686709,0.12012421123686709,111111111100,0.12012421123686709,0.1055748925448516,111111111100,111111111100,0.1055748925448516,0.1055748925448516,111111111100:0.120; 111111111001:0.113; 111111111010:0.090,none,inverse,0,0,[],0,0,0,,,,,,,,[],inverse,feasible-subspace baseline with inverse warm-start only,
warm_start_only_exponential,66,1.0,0.1106359265268388,0.08500664130159367,0.03627279017356519,0.03627279017356519,0.03627279017356519,111111111100,0.03627279017356519,0.1055748925448516,111111111100,111111111100,0.1055748925448516,0.1055748925448516,111111111100:0.036; 111111111001:0.036; 111111111010:0.036,none,exponential,0,0,[],0,0,0,,,,,,,,[],exponential,feasible-subspace baseline with exponential warm-start only,
uniform_match_complete_p4_r8,66,1.0,0.1066348137757941,0.08102932762570474,0.123156652010874,0.123156652010874,0.123156652010874,111111111100,0.123156652010874,0.1055748925448516,111111111100,111111111100,0.1055748925448516,0.1055748925448516,111111111100:0.123; 111111111001:0.122; 111111111010:0.117,complete,uniform,4,8,[8],8,20269618,1,0.1066348137757941,0.1066348137757941,0.1066348137757941,0.0,0.123156652010874,0.123156652010874,0.123156652010874,"[2.1445573824553827, 4.24760879656607, 4.838680689137322, 4.992859988719645, 2.2534042647004005, 0.2624382539626005, 1.410263442798891, 1.320234989565838]",uniform,matched uniform feasible-subspace comparator,0.04743204733022546
structured_inverse_complete_p4_r8,66,1.0,0.10622367343274204,0.08058840363785033,0.179971463256841,0.179971463256841,0.179971463256841,111111111100,0.179971463256841,0.1055748925448516,111111111100,111111111100,0.1055748925448516,0.1055748925448516,111111111100:0.180; 111111111001:0.171; 111111111010:0.141,complete,inverse,4,8,"[1, 4, 8]",8,20262666,3,0.10622367343274204,0.106374015143687,0.106374015143687,0.00015034171094495397,0.17620512085051732,0.17620512085051732,0.179971463256841,"[2.6724649352813707, 4.697263669361177, 5.01281008600716, 5.0057887537334835, 2.6487419692306906, 0.3662770471003009, 1.511096739631232, 2.371414582827511]",inverse,feasible-subspace structured QAOA,0.029033295006273774
structured_inverse_complete_p3_r8,66,1.0,0.10649957223063729,0.08086956300279656,0.16769135442540076,0.16769135442540076,0.16769135442540076,111111111100,0.16769135442540076,0.1055748925448516,111111111100,111111111100,0.1055748925448516,0.1055748925448516,111111111100:0.168; 111111111001:0.159; 111111111010:0.131,complete,inverse,3,8,"[1, 4, 8]",8,20262656,3,0.10649957223063729,0.10649957223088354,0.10649957223088354,2.462474668618597e-13,0.1676911123773859,0.1676911123773859,0.16769135442540076,"[2.8210631392291003, 4.688913123501943, 5.146463174690773, 2.078226927570113, 1.1297184691369402, 0.7526378670032677]",inverse,feasible-subspace structured QAOA,0.0413799151683049
structured_exponential_complete_p4_r8,66,1.0,0.1065104717983923,0.08089939974507941,0.1304128249469274,0.1304128249469274,0.1304128249469274,111111111100,0.1304128249469274,0.1055748925448516,111111111100,111111111100,0.1055748925448516,0.1055748925448516,111111111100:0.130; 111111111001:0.129; 111111111010:0.123,complete,exponential,4,8,"[1, 4, 8]",8,20262766,3,0.1065104717983923,0.10651049897852166,0.10651049897852166,2.7180129355541816e-08,0.1304128249469274,0.13044501654815796,0.13044501654815796,"[2.3892646850784454, 4.294397662833728, 4.80364294068294, 4.923731737913331, 3.1213851757518016, 2.169697274256835, 1.1259497607834699, 3.1299205089348323]",exponential,feasible-subspace structured QAOA,0.04186767670995597
structured_inverse_complete_p2_r8,66,1.0,0.10686745131156539,0.08124415891734355,0.15210532307651134,0.15210532307651134,0.15210532307651134,111111111100,0.15210532307651134,0.1055748925448516,111111111100,111111111100,0.1055748925448516,0.1055748925448516,111111111100:0.152; 111111111001:0.144; 111111111010:0.117,complete,inverse,2,8,"[1, 4, 8]",8,20262646,3,0.10686745131156539,0.1068674513128717,0.108671256502909,0.0018038051913436132,0.1201242112368671,0.1521049080792302,0.15210532307651134,"[2.8161759094155254, 4.696232154103779, 3.0320816380700606, 1.5138879181647826]",inverse,feasible-subspace structured QAOA,0.057842702655695404
structured_exponential_complete_p3_r4,66,1.0,0.10706028190360384,0.0814608581841941,0.10620557472990716,0.10620557472990716,0.10620557472990716,111111111100,0.10620557472990716,0.1055748925448516,111111111100,111111111100,0.1055748925448516,0.1055748925448516,111111111100:0.106; 111111111001:0.105; 111111111010:0.101,complete,exponential,3,4,"[1, 4, 8]",4,20262752,3,0.10706028190360384,0.10706028190385164,0.10706028190459652,9.92678161892968e-13,0.10620532179833124,0.10620557472990716,0.10620567419135003,"[2.6288379861072673, 4.345907379207523, 4.976963803892254, 2.741015258313892, 2.933747622878771, 1.79634385049255]",exponential,feasible-subspace structured QAOA,0.06647197575757534
structured_inverse_complete_p1_r4,66,1.0,0.10742058536219921,0.08179565667893762,0.13824854283996046,0.13824854283996046,0.13824854283996046,111111111100,0.13824854283996046,0.1055748925448516,111111111100,111111111100,0.1055748925448516,0.1055748925448516,111111111100:0.138; 111111111001:0.130; 111111111010:0.105,complete,inverse,1,4,"[1, 4, 8]",4,20262632,3,0.10742058536219921,0.1074205853621995,0.10742058536220012,9.020562075079397e-16,0.13824854186962343,0.13824854283996046,0.1382485446267957,"[3.121491940820937, 3.129979166607742]",inverse,feasible-subspace structured QAOA,0.08259575005554251
structured_exponential_complete_p2_r8,66,1.0,0.10781518351695318,0.08222640244842647,0.07808790681817138,0.07808790681817138,0.07808790681817138,111111111100,0.07808790681817138,0.1055748925448516,111111111100,111111111100,0.1055748925448516,0.1055748925448516,111111111100:0.078; 111111111001:0.078; 111111111010:0.075,complete,exponential,2,8,"[1, 4, 8]",8,20262746,3,0.10781518351695318,0.10781518351695393,0.11063592652683883,0.0028207430098856484,0.03627279017356519,0.07808790681817138,0.07808791495812234,"[2.7636044255102488, 4.447182687565633, 3.1245310014891334, 3.128921043097689]",exponential,feasible-subspace structured QAOA,0.10025423052212125
