method,coast_window,schedule,probability,refined_selected_worst_error,refined_nominal_error,is_best_one_coast,is_pareto_frontier
structured_xy_qaoa_p1,0,011111111111,0.008156003316559864,0.0940745290922824,0.0690121126015381,False,False
structured_xy_qaoa_p1,1,101111111111,0.00019422354112284707,0.0925646306997911,0.0674629379621564,False,False
structured_xy_qaoa_p1,2,110111111111,6.522276578018833e-05,0.0922072907281229,0.0669946905744458,False,False
structured_xy_qaoa_p1,3,111011111111,0.025418302210059317,0.0891852628715516,0.0642622153311685,False,False
structured_xy_qaoa_p1,4,111101111111,0.04415401762298098,0.0881467206672208,0.0632678740837427,False,False
structured_xy_qaoa_p1,5,111110111111,0.05508973992866184,0.0876302659683052,0.062754548122028,False,False
structured_xy_qaoa_p1,6,111111011111,0.1623156922697142,0.0836849565091918,0.0600522997884915,False,False
structured_xy_qaoa_p1,7,111111101111,0.11726288574279194,0.0852143098547604,0.0605770719694452,False,False
structured_xy_qaoa_p1,8,111111110111,0.13324853600948602,0.0846623615241569,0.0600776590648171,False,False
structured_xy_qaoa_p1,9,111111111011,0.1281836541874048,0.0848356908620562,0.0603003605462355,False,True
structured_xy_qaoa_p1,10,111111111101,0.150878235892781,0.0840670141736464,0.0595664825472062,False,True
structured_xy_qaoa_p1,11,111111111110,0.17503348651265713,0.0832614239111052,0.0587801873504588,True,True
structured_xy_qaoa_p2,0,011111111111,0.0028322619706421448,0.0940745290922824,0.0690121126015381,False,False
structured_xy_qaoa_p2,1,101111111111,0.0015971762734637643,0.0925646306997911,0.0674629379621564,False,False
structured_xy_qaoa_p2,2,110111111111,0.002909508178598002,0.0922072907281229,0.0669946905744458,False,False
structured_xy_qaoa_p2,3,111011111111,0.0011144335146796927,0.0891852628715516,0.0642622153311685,False,False
structured_xy_qaoa_p2,4,111101111111,0.0009641553092609571,0.0881467206672208,0.0632678740837427,False,False
structured_xy_qaoa_p2,5,111110111111,0.004900802931941861,0.0876302659683052,0.062754548122028,False,False
structured_xy_qaoa_p2,6,111111011111,0.21318735146819748,0.0836849565091918,0.0600522997884915,False,False
structured_xy_qaoa_p2,7,111111101111,0.09206313588903214,0.0852143098547604,0.0605770719694452,False,False
structured_xy_qaoa_p2,8,111111110111,0.1307315245065883,0.0846623615241569,0.0600776590648171,False,False
structured_xy_qaoa_p2,9,111111111011,0.11788138151510501,0.0848356908620562,0.0603003605462355,False,True
structured_xy_qaoa_p2,10,111111111101,0.17919911059850244,0.0840670141736464,0.0595664825472062,False,True
structured_xy_qaoa_p2,11,111111111110,0.25261915784398836,0.0832614239111052,0.0587801873504588,True,True
structured_xy_qaoa_p3,0,011111111111,0.00035111020099074577,0.0940745290922824,0.0690121126015381,False,False
structured_xy_qaoa_p3,1,101111111111,0.0006412462740936344,0.0925646306997911,0.0674629379621564,False,False
structured_xy_qaoa_p3,2,110111111111,0.0005343956786682636,0.0922072907281229,0.0669946905744458,False,False
structured_xy_qaoa_p3,3,111011111111,0.002690020953496422,0.0891852628715516,0.0642622153311685,False,False
structured_xy_qaoa_p3,4,111101111111,0.0015729832558760892,0.0881467206672208,0.0632678740837427,False,False
structured_xy_qaoa_p3,5,111110111111,0.0003774704668491125,0.0876302659683052,0.062754548122028,False,False
structured_xy_qaoa_p3,6,111111011111,0.2391096219969865,0.0836849565091918,0.0600522997884915,False,False
structured_xy_qaoa_p3,7,111111101111,0.06085212040892689,0.0852143098547604,0.0605770719694452,False,False
structured_xy_qaoa_p3,8,111111110111,0.11028960276800542,0.0846623615241569,0.0600776590648171,False,False
structured_xy_qaoa_p3,9,111111111011,0.09286879902689711,0.0848356908620562,0.0603003605462355,False,True
structured_xy_qaoa_p3,10,111111111101,0.18302089728837392,0.0840670141736464,0.0595664825472062,False,True
structured_xy_qaoa_p3,11,111111111110,0.3076917316808359,0.0832614239111052,0.0587801873504588,True,True
structured_xy_qaoa_p4,0,011111111111,4.916918175353025e-05,0.0940745290922824,0.0690121126015381,False,False
