method,states_in_support,feasible_support_probability,expected_selected_worst_error,expected_nominal_error,probability_best_one_coast,probability_pareto_frontier,top_schedule,top_schedule_probability,top_schedule_selected_worst_error,best_one_coast_schedule,best_one_coast_selected_worst_error,top3_schedules,mixer_topology,depth,angles,expected_normalized_cost,cost_offset,cost_scale,initial_state,warm_start_epsilon,warm_start_beta
uniform_feasible,12,1.0,0.0874612047385159,0.06275903666181115,0.08333333333333333,0.25,011111111111,0.08333333333333333,0.0940745290922824,111111111110,0.0832614239111052,011111111111:0.083; 101111111111:0.083; 110111111111:0.083,,,,,,,,,
warm_start_xy_qaoa,12,1.0,0.0842841487476258,0.059875983079977976,0.47742489298267526,0.6361297343270642,111111111110,0.47742489298267526,0.0832614239111052,111111111110,0.0832614239111052,111111111110:0.477; 111111011111:0.161; 111111111101:0.101,complete,0.0,[],0.09458197431584206,0.0832614239111052,0.010813105181177188,inverse_cost,0.02,
structured_xy_qaoa_p1,12,1.0,0.08476672503171204,0.060325874958919556,0.17503348651265713,0.45409537659284294,111111111110,0.17503348651265713,0.0832614239111052,111111111110,0.0832614239111052,111111111110:0.175; 111111011111:0.162; 111111111101:0.151,complete,1.0,"[1.9108110185878597, 2.5038690921265068]",0.13921080904929642,0.0832614239111052,0.010813105181177188,uniform,,
structured_xy_qaoa_p2,12,1.0,0.0841488242633059,0.05980319771833106,0.25261915784398836,0.5496996499575958,111111111110,0.25261915784398836,0.0832614239111052,111111111110,0.0832614239111052,111111111110:0.253; 111111011111:0.213; 111111111101:0.179,complete,2.0,"[1.8847163382405232, 3.739409485497149, 2.9846310859738927, 0.45347081950074375]",0.08206711553545377,0.0832614239111052,0.010813105181177188,uniform,,
structured_xy_qaoa_p3,12,1.0,0.08396949258832098,0.059658744805152264,0.3076917316808359,0.5835814279961069,111111111110,0.3076917316808359,0.0832614239111052,111111111110,0.0832614239111052,111111111110:0.308; 111111011111:0.239; 111111111101:0.183,complete,3.0,"[1.594059234658056, 3.5865825286021114, 4.154519359522506, 0.8696665785780405, 3.037888029358444, 1.5267141376426308]",0.0654824553494906,0.0832614239111052,0.010813105181177188,uniform,,
structured_xy_qaoa_p4,12,1.0,0.08372972399262946,0.05947358622233695,0.449840671602131,0.6430996753932191,111111111110,0.449840671602131,0.0832614239111052,111111111110,0.0832614239111052,111111111110:0.450; 111111011111:0.287; 111111111101:0.166,complete,4.0,"[2.066725341040876, 4.051037438670996, 4.765213419354281, 4.590435873115471, 1.4002203199838417, 0.3996318710230464, 0.4459592340273914, 0.9854916106912133]",0.04330856619608514,0.0832614239111052,0.010813105181177188,uniform,,
warm_start_xy_qaoa_p1,12,1.0,0.08385715266563602,0.05949460220278436,0.508778970674644,0.6795438691925568,111111111110,0.508778970674644,0.0832614239111052,111111111110,0.0832614239111052,111111111110:0.509; 111111011111:0.177; 111111111101:0.111,complete,1.0,"[2.152238939419832, 3.0972100241854577]",0.05509321740140154,0.0832614239111052,0.010813105181177188,inverse_cost,0.02,
warm_start_xy_qaoa_p2,12,1.0,0.08371001239724696,0.05937076868630452,0.538261854060717,0.7063684797292684,111111111110,0.538261854060717,0.0832614239111052,111111111110,0.0832614239111052,111111111110:0.538; 111111011111:0.190; 111111111101:0.115,complete,2.0,"[2.3422240774467347, 4.175213470824219, 1.508456169926002, 3.1072108638312836]",0.04148563050349444,0.0832614239111052,0.010813105181177188,inverse_cost,0.02,
warm_start_xy_qaoa_p3,12,1.0,0.08366369285013486,0.05933455009539794,0.5571201984475808,0.7163502885212341,111111111110,0.5571201984475808,0.0832614239111052,111111111110,0.0832614239111052,111111111110:0.557; 111111011111:0.199; 111111111101:0.116,complete,3.0,"[2.229581775988874, 4.297815465272326, 4.454967390608465, 0.45354777637967175, 0.9991962707890057, 2.0722913378736503]",0.037201981511278556,0.0832614239111052,0.010813105181177188,inverse_cost,0.02,
warm_start_xy_qaoa_p4,12,1.0,0.08353137637791036,0.05922185962002198,0.653075051576728,0.7563159666531695,111111111110,0.653075051576728,0.0832614239111052,111111111110,0.0832614239111052,111111111110:0.653; 111111011111:0.213; 111111111101:0.095,complete,4.0,"[2.7173899121212446, 4.732444107400551, 5.235301019918474, 4.459591271542601, 3.0805050936838936, 1.5124840113185194, 1.5265643825300623, 1.5243496151462812]",0.024965304811339403,0.0832614239111052,0.010813105181177188,inverse_cost,0.02,
