method,state_index,state_label,coast_windows,schedule,probability,refined_selected_worst_error,refined_nominal_error,is_best_state,is_best_one_coast,is_pareto_frontier
uniform_feasible,0,0,0,011111111111,0.08333333333333333,0.0940745290922824,0.0690121126015381,False,False,False
uniform_feasible,1,1,1,101111111111,0.08333333333333333,0.0925646306997911,0.0674629379621564,False,False,False
uniform_feasible,2,2,2,110111111111,0.08333333333333333,0.0922072907281229,0.0669946905744458,False,False,False
uniform_feasible,3,3,3,111011111111,0.08333333333333333,0.0891852628715516,0.0642622153311685,False,False,False
uniform_feasible,4,4,4,111101111111,0.08333333333333333,0.0881467206672208,0.0632678740837427,False,False,False
uniform_feasible,5,5,5,111110111111,0.08333333333333333,0.0876302659683052,0.062754548122028,False,False,False
uniform_feasible,6,6,6,111111011111,0.08333333333333333,0.0836849565091918,0.0600522997884915,False,False,False
uniform_feasible,7,7,7,111111101111,0.08333333333333333,0.0852143098547604,0.0605770719694452,False,False,False
uniform_feasible,8,8,8,111111110111,0.08333333333333333,0.0846623615241569,0.0600776590648171,False,False,False
uniform_feasible,9,9,9,111111111011,0.08333333333333333,0.0848356908620562,0.0603003605462355,False,False,True
uniform_feasible,10,10,10,111111111101,0.08333333333333333,0.0840670141736464,0.0595664825472062,False,False,True
uniform_feasible,11,11,11,111111111110,0.08333333333333333,0.0832614239111052,0.0587801873504588,True,True,True
warm_start_only_inverse,0,0,0,011111111111,0.009361272411425004,0.0940745290922824,0.0690121126015381,False,False,False
warm_start_only_inverse,1,1,1,101111111111,0.0108460790036397,0.0925646306997911,0.0674629379621564,False,False,False
warm_start_only_inverse,2,2,2,110111111111,0.01126909614271749,0.0922072907281229,0.0669946905744458,False,False,False
warm_start_only_inverse,3,3,3,111011111111,0.016815506878683294,0.0891852628715516,0.0642622153311685,False,False,False
warm_start_only_inverse,4,4,4,111101111111,0.020238698507137883,0.0881467206672208,0.0632678740837427,False,False,False
warm_start_only_inverse,5,5,5,111110111111,0.02251833503824566,0.0876302659683052,0.062754548122028,False,False,False
warm_start_only_inverse,6,6,6,111111011111,0.16137819116460164,0.0836849565091918,0.0600522997884915,False,False,False
warm_start_only_inverse,7,7,7,111111101111,0.047598831167013876,0.0852143098547604,0.0605770719694452,False,False,False
warm_start_only_inverse,8,8,8,111111110111,0.0638442553594712,0.0846623615241569,0.0600776590648171,False,False,False
warm_start_only_inverse,9,9,9,111111111011,0.05766391302888558,0.0848356908620562,0.0603003605462355,False,False,True
warm_start_only_inverse,10,10,10,111111111101,0.1010409283155034,0.0840670141736464,0.0595664825472062,False,False,True
warm_start_only_inverse,11,11,11,111111111110,0.47742489298267526,0.0832614239111052,0.0587801873504588,True,True,True
warm_start_only_exponential,0,0,0,011111111111,0.008966772632856598,0.0940745290922824,0.0690121126015381,False,False,False
warm_start_only_exponential,1,1,1,101111111111,0.013632187372812746,0.0925646306997911,0.0674629379621564,False,False,False
warm_start_only_exponential,2,2,2,110111111111,0.015052957998343601,0.0922072907281229,0.0669946905744458,False,False,False
warm_start_only_exponential,3,3,3,111011111111,0.03481364147672162,0.0891852628715516,0.0642622153311685,False,False,False
warm_start_only_exponential,4,4,4,111101111111,0.0464391854852178,0.0881467206672208,0.0632678740837427,False,False,False
warm_start_only_exponential,5,5,5,111110111111,0.053593585484267084,0.0876302659683052,0.062754548122028,False,False,False
warm_start_only_exponential,6,6,6,111111011111,0.16013552016570767,0.0836849565091918,0.0600522997884915,False,False,False
warm_start_only_exponential,7,7,7,111111101111,0.10476449794351045,0.0852143098547604,0.0605770719694452,False,False,False
warm_start_only_exponential,8,8,8,111111110111,0.12210094453286996,0.0846623615241569,0.0600776590648171,False,False,False
warm_start_only_exponential,9,9,9,111111111011,0.11636821504424949,0.0848356908620562,0.0603003605462355,False,False,True
warm_start_only_exponential,10,10,10,111111111101,0.14403004906437314,0.0840670141736464,0.0595664825472062,False,False,True
warm_start_only_exponential,11,11,11,111111111110,0.1801024427990699,0.0832614239111052,0.0587801873504588,True,True,True
uniform_match_complete_p4_r8,0,0,0,011111111111,4.907895154124356e-05,0.0940745290922824,0.0690121126015381,False,False,False
uniform_match_complete_p4_r8,1,1,1,101111111111,0.0005682238734940533,0.0925646306997911,0.0674629379621564,False,False,False
uniform_match_complete_p4_r8,2,2,2,110111111111,1.6263240815843798e-05,0.0922072907281229,0.0669946905744458,False,False,False
