method,mixer_topology,warm_start_mode,depth,restarts,seed,expected_selected_worst_error,expected_normalized_cost,expected_nominal_error,probability_best_one_coast,probability_pareto_frontier,top_schedule,top_schedule_probability,top_schedule_selected_worst_error,best_one_coast_schedule,best_one_coast_selected_worst_error,angles
uniform_match_complete_p1_r1,complete,uniform,1,1,20271629,0.08476672503171202,0.13921080904929675,0.06032587496156718,0.1750334885155397,0.4540953798555095,111111111110,0.1750334885155397,0.0832614239111052,111111111110,0.0832614239111052,"[1.9108111465073492, 0.9330727654709314]"
uniform_match_complete_p1_r4,complete,uniform,1,4,20271632,0.08476672503171202,0.13921080904929675,0.06032587496156718,0.1750334885155397,0.4540953798555095,111111111110,0.1750334885155397,0.0832614239111052,111111111110,0.0832614239111052,"[1.9108111465073492, 0.9330727654709314]"
uniform_match_complete_p1_r8,complete,uniform,1,8,20271636,0.08476672503171202,0.13921080904929675,0.06032587496156718,0.1750334885155397,0.4540953798555095,111111111110,0.1750334885155397,0.0832614239111052,111111111110,0.0832614239111052,"[1.9108111465073492, 0.9330727654709314]"
uniform_match_complete_p2_r1,complete,uniform,2,1,20271639,0.08476672503171202,0.13921080904929614,0.06032587496013455,0.17503348736005123,0.4540953780761948,111111111110,0.17503348736005123,0.0832614239111052,111111111110,0.0832614239111052,"[1.0676795430038444, 0.8431315521209223, 0.0, 0.4094739910215567]"
uniform_match_complete_p2_r4,complete,uniform,2,4,20271642,0.0841488242633058,0.08206711553544528,0.05980319770380691,0.25261912535068104,0.5496996305584687,111111111110,0.25261912535068104,0.0832614239111052,111111111110,0.0832614239111052,"[1.8847156516778456, 3.739409469482868, 1.4138347437658036, 2.547865942845605]"
uniform_match_complete_p2_r8,complete,uniform,2,8,20271646,0.08414882426330866,0.08206711553571237,0.05980319767821961,0.2526190679114353,0.5496995981672725,111111111110,0.2526190679114353,0.0832614239111052,111111111110,0.0832614239111052,"[1.8847142071253, 3.7394100254602805, 0.3666372196848724, 3.0714647462930547]"
uniform_match_complete_p3_r1,complete,uniform,3,1,20271649,0.08414882426331184,0.08206711553600476,0.05980319768466187,0.2526190820248695,0.5496996021993882,111111111110,0.2526190820248695,0.0832614239111052,111111111110,0.0832614239111052,"[1.8847133210064577, 1.9067890439967818, 1.8326205859311555, 0.890235881352242, 0.0, 0.977069580905883]"
uniform_match_complete_p3_r4,complete,uniform,3,4,20271652,0.08396949258844869,0.06548245536130073,0.0596587447270536,0.30769166614046467,0.5835813863379219,111111111110,0.30769166614046467,0.0832614239111052,111111111110,0.0832614239111052,"[1.5940384587603622, 3.5865644338750937, 4.154513983042343, 1.3932645699176782, 1.4670907471893757, 2.0503120483631183]"
uniform_match_complete_p3_r8,complete,uniform,3,8,20271656,0.08396949258831607,0.0654824553490357,0.059658744707101696,0.30769147126680296,0.5835813175976147,111111111110,0.30769147126680296,0.0832614239111052,111111111110,0.0832614239111052,"[1.594055818996429, 3.5865769158974374, 4.154511009957578, 1.916864156512118, 2.514289132461336, 1.003115462855312]"
uniform_match_complete_p4_r1,complete,uniform,4,1,20271659,0.08414882426331106,0.08206711553593428,0.05980319763726696,0.2526190036398743,0.549699552502813,111111111110,0.2526190036398743,0.0832614239111052,111111111110,0.0832614239111052,"[1.4073252715509919, 0.47738728799951236, 1.8996503924534562, 1.8397568372191027, 0.0, 0.36663716228331533, 0.0, 0.453470887506342]"
uniform_match_complete_p4_r4,complete,uniform,4,4,20271662,0.08372972400931768,0.043308567739418054,0.059473583729877405,0.44984240358151933,0.6431008668255972,111111111110,0.44984240358151933,0.0832614239111052,111111111110,0.0832614239111052,"[2.066736158108199, 4.050908807113627, 4.7650243206908325, 4.590474390703559, 1.4002158820731159, 0.3996187684395161, 0.9695526749000132, 1.5090865440987695]"
uniform_match_complete_p4_r8,complete,uniform,4,8,20269618,0.083729724000715,0.043308566943839576,0.05947358586099662,0.4498482856960486,0.6431008634350095,111111111110,0.4498482856960486,0.0832614239111052,111111111110,0.0832614239111052,"[2.066738081746345, 4.050998463931211, 4.765200247713123, 4.590354120769191, 1.4002240925970104, 1.4468264039980818, 2.0167531848422313, 3.079880798662065]"
uniform_match_cycle_p1_r1,cycle,uniform,1,1,20270629,0.0874612047385159,0.38839729726493677,0.06275903666181115,0.08333333333333344,0.25000000000000006,101111111111,0.08333333333333348,0.0925646306997911,111111111110,0.0832614239111052,"[0.0, 0.0]"
uniform_match_cycle_p1_r4,cycle,uniform,1,4,20270632,0.08527373543515958,0.18609932025421363,0.060723373739263675,0.07209291687264918,0.5785008840735996,111111111101,0.34983695162101797,0.0840670141736464,111111111110,0.0832614239111052,"[6.283185307179586, 3.141592653589793]"
uniform_match_cycle_p1_r8,cycle,uniform,1,8,20270636,0.08527373543515958,0.18609932025421363,0.060723373739263675,0.07209291687264918,0.5785008840735996,111111111101,0.34983695162101797,0.0840670141736464,111111111110,0.0832614239111052,"[6.283185307179586, 3.141592653589793]"
uniform_match_cycle_p2_r1,cycle,uniform,2,1,20270639,0.08746120473851592,0.38839729726493666,0.06275903666181115,0.08333333333333355,0.25000000000000017,101111111111,0.08333333333333362,0.0925646306997911,111111111110,0.0832614239111052,"[0.0, 0.0, 0.0022364714948747096, 0.0]"
uniform_match_cycle_p2_r4,cycle,uniform,2,4,20270642,0.08490753211516293,0.15223270064210465,0.06042707473191496,0.17637525962916417,0.6292014169119924,111111111101,0.35052129529453874,0.0840670141736464,111111111110,0.0832614239111052,"[4.092754766702459, 4.047803721149516, 0.0, 3.0226028135961442]"
uniform_match_cycle_p2_r8,cycle,uniform,2,8,20270646,0.08482091893341458,0.14422268129085014,0.060366845826834395,0.19662681405924806,0.6508480410954894,111111111101,0.33247917826368495,0.0840670141736464,111111111110,0.0832614239111052,"[6.283185307179586, 1.8360399733679227, 0.4068344900152299, 2.7588168984048083]"
uniform_match_cycle_p3_r1,cycle,uniform,3,1,20270649,0.08746120473851593,0.38839729726493677,0.06275903666181117,0.08333333333333373,0.2500000000000002,101111111111,0.08333333333333373,0.0925646306997911,111111111110,0.0832614239111052,"[0.0, 0.0, 0.0566247589633153, 0.25358535119208053, 0.21352290903718857, 0.0]"
uniform_match_cycle_p3_r4,cycle,uniform,3,4,20270652,0.0854217203004407,0.19978501578769656,0.06085868009358096,0.01680998619627356,0.1516051623427307,111111110111,0.4836573311512918,0.0846623615241569,111111111110,0.0832614239111052,"[6.283185307179586, 1.9861182175461742, 5.57945754175349, 3.141592653589793, 1.6838357302235905, 1.4614336611649994]"
uniform_match_cycle_p3_r8,cycle,uniform,3,8,20270656,0.08428853017659335,0.09498717050085403,0.059780171946718724,0.4132152414419587,0.79477331477453,111111111110,0.4132152414419587,0.0832614239111052,111111111110,0.0832614239111052,"[1.8658738554598764, 6.283185307179586, 1.2096471322679556, 3.141592653589793, 2.1614267547363655, 1.353943224565602]"
uniform_match_cycle_p4_r1,cycle,uniform,4,1,20270659,0.0874612047385159,0.388397297264937,0.06275903666181117,0.08333333333333379,0.2500000000000002,111111111110,0.08333333333333379,0.0832614239111052,111111111110,0.0832614239111052,"[0.0, 0.0, 0.0, 0.0, 0.2619939459985111, 0.27836600803421063, 0.248058017221168, 0.05823685338236955]"
uniform_match_cycle_p4_r4,cycle,uniform,4,4,20270662,0.08412730741935567,0.08007722978203814,0.059607334769030865,0.4707824681347575,0.736236632894425,111111111110,0.4707824681347575,0.0832614239111052,111111111110,0.0832614239111052,"[0.9981579121229771, 1.6174090785681405, 1.2504136805842896, 6.283185307179586, 0.4679753218469082, 3.0838120478546327, 0.6343673672380588, 2.822857353781449]"
uniform_match_cycle_p4_r8,cycle,uniform,4,8,20270666,0.08409726554823371,0.07729894633629308,0.059622882170832586,0.5173762166489899,0.8455427520265829,111111111110,0.5173762166489899,0.0832614239111052,111111111110,0.0832614239111052,"[1.905831180450383, 4.593679135692644, 2.403943658838618, 0.8906641200628257, 2.9620810797281765, 0.7567884217631828, 1.3687598171353632, 1.6124650968283134]"
uniform_match_path_p1_r1,path,uniform,1,1,20269629,0.08695128375658374,0.3412396146762387,0.062273614329526744,0.007787986358366162,0.11467375215747495,111101111111,0.1592308079508399,0.0881467206672208,111111111110,0.0832614239111052,"[0.0, 3.141592653589793]"
uniform_match_path_p1_r4,path,uniform,1,4,20269632,0.08695128375658374,0.3412396146762387,0.062273614329526744,0.007787986358366162,0.11467375215747495,111101111111,0.1592308079508399,0.0881467206672208,111111111110,0.0832614239111052,"[0.0, 3.141592653589793]"
uniform_match_path_p1_r8,path,uniform,1,8,20269636,0.08695128375658374,0.3412396146762387,0.062273614329526744,0.007787986358366162,0.11467375215747495,111101111111,0.1592308079508399,0.0881467206672208,111111111110,0.0832614239111052,"[0.0, 3.141592653589793]"
uniform_match_path_p2_r1,path,uniform,2,1,20269639,0.08642122764242191,0.29221982754935905,0.06188641807404754,0.018375727537296074,0.04373486275476349,111111011111,0.22509756641006037,0.0836849565091918,111111111110,0.0832614239111052,"[0.0, 0.0, 3.141592653589793, 2.835235202001923]"
uniform_match_path_p2_r4,path,uniform,2,4,20269642,0.08642122764242115,0.29221982754929005,0.06188641807409735,0.018375729666657178,0.04373486012418675,111111011111,0.22509756688415392,0.0836849565091918,111111111110,0.0832614239111052,"[0.0, 0.0, 2.8352356100732754, 3.141592653589793]"
uniform_match_path_p2_r8,path,uniform,2,8,20269646,0.08642122764241728,0.2922198275489341,0.06188641807459553,0.01837575084278772,0.04373483396411587,111111011111,0.2250975715984094,0.0836849565091918,111111111110,0.0832614239111052,"[0.0, 0.0, 3.131120723800962, 2.845711598108731]"
uniform_match_path_p3_r1,path,uniform,3,1,20269649,0.08642122764242197,0.29221982754936765,0.06188641807404163,0.018375727284651536,0.043734863066876725,111110111111,0.22509756635380954,0.0876302659683052,111111111110,0.0832614239111052,"[0.0, 0.0, 0.0, 2.1392529712716275, 2.182322404963186, 1.6552524309401169]"
uniform_match_path_p3_r4,path,uniform,3,4,20269652,0.08642122764242197,0.29221982754936765,0.06188641807404163,0.018375727284651536,0.043734863066876725,111110111111,0.22509756635380954,0.0876302659683052,111111111110,0.0832614239111052,"[0.0, 0.0, 0.0, 2.1392529712716275, 2.182322404963186, 1.6552524309401169]"
uniform_match_path_p3_r8,path,uniform,3,8,20269656,0.08632988088886492,0.28377204571181996,0.061945993061454596,0.022878589583336845,0.2633952648646614,111111011111,0.32868228784348846,0.0836849565091918,111111111110,0.0832614239111052,"[6.283185307179586, 6.283185307179586, 3.944422286391577, 1.434177595578624, 2.1219640556211976, 3.141592653589793]"
uniform_match_path_p4_r1,path,uniform,4,1,20269659,0.08642122764243422,0.2922198275504998,0.061886418075802335,0.018375801288481892,0.043734771649819884,111110111111,0.22509758282485134,0.0876302659683052,111111111110,0.0832614239111052,"[0.0, 0.0, 0.0, 0.0, 1.9109584772113277, 1.8736998374324885, 1.7670711583314824, 0.425112516818285]"
uniform_match_path_p4_r4,path,uniform,4,4,20269662,0.0855510058757686,0.2117413940122364,0.06110866898321398,0.12192252491688477,0.38111239298535676,111111111101,0.23774968994604104,0.0840670141736464,111111111110,0.0832614239111052,"[3.89922252679605, 6.283185307179586, 6.283185307179586, 0.0, 1.5406465374702045, 1.5924849175096125, 2.5636673374112937, 2.3716943360875593]"
uniform_match_path_p4_r8,path,uniform,4,8,20269666,0.0855510058704183,0.21174139351743884,0.061108677768369896,0.12193238430070093,0.3811155210548175,111111111101,0.2377450410127658,0.0840670141736464,111111111110,0.0832614239111052,"[3.899040651484159, 6.283185307179586, 6.283185307179586, 0.0, 1.5406689213416698, 1.5924747634665022, 1.9100812061484536, 3.0252608400195102]"
