structured_method,matched_uniform_method,mixer_topology,warm_start_mode,depth,restarts,restart_grid,structured_expected_selected_worst_error,matched_uniform_expected_selected_worst_error,structured_minus_matched_uniform_selected_worst_error,absolute_selected_worst_error_difference,structured_probability_best_one_coast,matched_uniform_probability_best_one_coast,structured_probability_pareto_frontier,matched_uniform_probability_pareto_frontier,structured_restart_grid_expected_selected_worst_error_min,structured_restart_grid_expected_selected_worst_error_max,structured_restart_grid_expected_selected_worst_error_spread,structured_restart_grid_probability_best_one_coast_min,structured_restart_grid_probability_best_one_coast_max,comparison_basis
structured_inverse_complete_p4_r8,uniform_match_complete_p4_r8,complete,inverse,4,8,"[1, 4, 8]",0.08353137638550197,0.083729724000715,-0.0001983476152130348,0.0001983476152130348,0.6530736335387194,0.4498482856960486,0.7563153226469529,0.6431008634350095,0.08353137638550197,0.08367991640628493,0.00014854002078296125,0.5555942605711792,0.6530736335387194,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_inverse_complete_p3_r4,uniform_match_complete_p3_r4,complete,inverse,3,4,"[1, 4, 8]",0.08366369285014066,0.08396949258844869,-0.0003057997383080213,0.0003057997383080213,0.5571202226177925,0.30769166614046467,0.716350301931602,0.5835813863379219,0.08366369285014066,0.0842841487476258,0.0006204558974851337,0.4774248929826756,0.5571202226177925,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_exponential_complete_p4_r8,uniform_match_complete_p4_r8,complete,exponential,4,8,"[1, 4, 8]",0.08368415135307927,0.083729724000715,-4.5572647635730434e-05,4.5572647635730434e-05,0.4808934282130133,0.4498482856960486,0.6550282900257889,0.6431008634350095,0.08368415135307927,0.08368415135310844,2.917110997202599e-14,0.4808934282130133,0.4808942536736025,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_inverse_complete_p2_r8,uniform_match_complete_p2_r8,complete,inverse,2,8,"[1, 4, 8]",0.08371001239726086,0.08414882426330866,-0.0004388118660478002,0.0004388118660478002,0.538261731354996,0.2526190679114353,0.7063684275305547,0.5496995981672725,0.08371001239726086,0.083842883722256,0.00013287132499513465,0.5138545473067614,0.538261731354996,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_inverse_complete_p1_r8,uniform_match_complete_p1_r8,complete,inverse,1,8,"[1, 4, 8]",0.08385715266563783,0.08476672503171202,-0.0009095723660741961,0.0009095723660741961,0.5087789652775052,0.1750334885155397,0.6795438698441463,0.4540953798555095,0.08385715266563783,0.0842841487476258,0.0004269960819879709,0.4774248929826754,0.5087789652775052,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_exponential_complete_p3_r4,uniform_match_complete_p3_r4,complete,exponential,3,4,"[1, 4, 8]",0.0839198591327556,0.08396949258844869,-4.963345569308775e-05,4.963345569308775e-05,0.33639693701881335,0.30769166614046467,0.5971759641619081,0.5835813863379219,0.0839198591327556,0.08502980427472878,0.0011099451419731843,0.18010244279906992,0.33639693701881335,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_inverse_cycle_p4_r4,uniform_match_cycle_p4_r4,cycle,inverse,4,4,"[1, 4, 8]",0.08396929162180689,0.08412730741935567,-0.00015801579754878836,0.00015801579754878836,0.6233307049956368,0.4707824681347575,0.7783735154915095,0.736236632894425,0.08396929162180689,0.0842841487476258,0.00031485712581891256,0.26008598224789614,0.6233307049956368,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_exponential_cycle_p4_r8,uniform_match_cycle_p4_r8,cycle,exponential,4,8,"[1, 4, 8]",0.08402675201787849,0.08409726554823371,-7.051353035522623e-05,7.051353035522623e-05,0.5222521287857415,0.5173762166489899,0.751880876809082,0.8455427520265829,0.08402675201787849,0.08502980427472878,0.0010030522568502953,0.18010244279907095,0.5222521287857415,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_exponential_complete_p2_r8,uniform_match_complete_p2_r8,complete,exponential,2,8,"[1, 4, 8]",0.08404823684389245,0.08414882426330866,-0.0001005874194162093,0.0001005874194162093,0.28344321223825303,0.2526190679114353,0.5688925847747248,0.5496995981672725,0.08404823684389245,0.08441177380883731,0.00036353696494485777,0.22050539663985758,0.28344321223825303,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_inverse_path_p4_r8,uniform_match_path_p4_r8,path,inverse,4,8,"[1, 4, 8]",0.08425276668916287,0.0855510058704183,-0.001298239181255434,0.001298239181255434,0.4159632417251668,0.12193238430070093,0.535211806225557,0.3811155210548175,0.08425276668916287,0.0842841487476258,3.138205846292541e-05,0.4159632417251668,0.4774248929826733,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_inverse_cycle_p3_r8,uniform_match_cycle_p3_r8,cycle,inverse,3,8,"[1, 4, 8]",0.08427138191786686,0.08428853017659335,-1.714825872649317e-05,1.714825872649317e-05,0.2949651972697959,0.4132152414419587,0.6592734510922769,0.79477331477453,0.08427138191786686,0.0842841487476258,1.2766829758939502e-05,0.29496010181858384,0.47742489298267665,"same feasible subspace, same mixer topology, same depth, same restart count"
